id,actual,SVM(100),SVM(100W),SVM(500),SVM(500W),Tree(3),Tree(3W),RandForest,RandForest-Bal
236,False,True,False,False,False,False,False,True,True
237,False,False,False,False,True,False,False,False,False
238,False,False,False,False,True,False,False,False,False
239,False,False,False,False,False,False,False,False,False
240,False,False,False,False,False,False,False,False,False
241,False,False,False,False,False,False,False,False,False
242,False,True,False,False,False,False,False,False,False
243,False,True,False,False,False,True,True,True,True
244,False,False,False,False,False,False,False,False,False
245,False,False,False,False,False,True,False,True,True
246,False,True,False,False,False,True,False,False,False
247,False,False,False,False,False,False,False,False,False
248,False,True,False,False,False,True,True,False,False
249,False,False,False,False,False,False,False,False,True
250,False,False,False,False,False,False,False,True,False
251,False,False,False,False,False,False,False,True,False
252,False,False,False,False,False,False,False,False,False
253,False,False,False,False,False,True,False,False,True
254,False,False,False,False,False,False,False,False,False
255,False,False,False,False,False,False,False,False,False
256,False,True,False,True,True,True,True,True,True
257,False,True,False,False,False,False,False,False,False
258,False,True,False,True,True,False,False,False,False
259,False,True,False,False,False,False,False,False,False
260,False,False,False,False,False,False,False,False,False
261,False,False,False,False,False,False,False,False,False
262,False,True,False,False,False,False,False,True,True
263,False,True,True,True,True,True,True,False,False
264,False,True,True,True,True,True,True,False,False
265,False,True,False,False,False,False,False,True,True
266,False,True,False,False,False,False,False,False,False
267,False,True,False,False,False,True,True,True,True
268,False,True,False,False,False,True,True,True,True
269,False,True,True,True,True,False,False,False,False
270,False,False,False,False,False,True,True,False,False
271,False,True,True,True,True,True,True,True,True
272,False,True,False,False,True,False,False,False,False
273,False,False,False,False,False,True,False,False,False
274,False,False,False,False,False,False,False,False,False
275,False,False,False,False,False,False,False,False,False
276,False,True,False,False,False,True,False,True,True
277,False,False,False,False,False,False,False,False,False
278,False,True,True,True,True,False,False,False,False
279,False,False,False,False,False,True,False,False,False
280,False,True,False,False,True,True,False,True,True
281,False,False,False,False,False,False,False,False,False
282,False,True,False,False,False,False,False,True,False
283,False,True,False,False,False,False,False,True,True
284,False,True,False,False,False,True,True,False,False
285,False,True,False,True,True,False,True,False,False
286,False,True,False,True,True,False,True,False,False
287,False,True,False,False,False,False,False,False,False
288,False,True,False,False,False,True,True,True,True
289,False,True,False,False,False,False,True,False,False
290,False,False,False,False,False,False,False,False,False
291,False,False,False,False,False,True,False,False,True
292,False,True,False,False,False,False,False,True,True
293,False,True,False,False,False,False,False,False,False
294,False,True,False,False,False,False,False,False,False
295,False,False,False,False,False,False,False,False,False
296,False,True,False,False,False,False,False,False,False
297,False,False,False,False,False,False,False,False,True
298,False,False,False,False,False,True,False,False,False
299,False,False,False,False,False,False,False,False,False
300,False,False,False,False,False,False,False,False,False
301,False,False,False,False,False,True,True,True,False
302,False,True,False,False,False,False,False,False,False
303,False,True,True,True,True,False,False,True,True
304,False,True,True,True,True,True,False,False,True
305,False,False,False,False,False,False,False,False,False
306,False,False,False,False,False,True,False,False,False
307,False,False,False,False,False,False,False,True,True
308,False,True,False,True,True,False,False,False,False
309,False,True,False,True,True,False,False,False,False
310,False,False,False,False,False,True,False,False,False
311,False,True,False,False,False,True,False,True,True
312,False,False,False,False,False,False,False,False,True
313,False,False,False,False,False,False,False,False,True
314,False,True,False,False,False,False,False,False,False
315,False,True,False,False,False,False,False,False,False
316,False,True,False,False,False,True,False,False,True
317,False,True,True,True,True,True,False,True,True
318,False,True,False,False,False,False,False,False,False
319,False,True,True,True,True,True,False,True,True
320,False,True,True,True,True,True,True,False,False
321,False,False,False,False,False,False,False,False,False
322,False,False,False,False,False,True,True,True,False
323,False,True,False,False,False,False,False,False,True
324,False,False,False,False,False,True,False,False,False
325,False,False,False,False,False,True,False,False,False
326,False,True,False,False,True,True,False,False,False
327,False,True,True,True,True,True,True,False,True
328,False,False,False,False,False,True,False,True,True
329,False,False,False,False,False,False,False,False,False
330,False,True,False,False,False,False,False,False,False
331,False,False,False,False,False,True,False,False,False
332,False,False,False,False,False,True,False,False,False
333,False,False,False,False,False,True,False,False,False
334,False,True,False,False,False,True,False,False,False
335,False,True,False,False,False,True,False,False,False
336,False,True,False,False,False,True,False,True,True
337,False,True,False,True,True,True,False,True,True
338,False,True,False,True,True,True,False,True,True
339,False,True,False,True,True,True,False,True,True
340,False,True,False,True,True,True,False,True,True
341,False,True,False,False,False,False,False,False,False
342,False,True,False,False,False,True,False,False,False
343,False,True,False,True,True,False,False,True,False
344,False,False,False,False,False,True,True,True,False
345,False,True,True,True,True,True,False,True,True
346,False,True,False,False,False,False,False,False,False
347,False,True,False,True,True,True,False,False,False
348,False,True,False,True,True,True,False,False,False
349,False,True,False,True,True,False,False,False,False
350,False,False,False,False,False,False,False,False,True
351,False,True,False,False,False,False,False,True,True
352,False,True,False,False,False,False,False,False,False
353,False,True,False,False,True,True,False,False,False
354,False,True,True,True,True,True,True,False,False
355,False,True,False,False,False,True,False,True,True
356,False,True,False,True,True,True,True,True,True
357,False,False,False,False,False,False,False,False,False
358,False,True,False,True,True,False,False,False,False
359,False,True,False,False,False,False,False,True,True
360,False,False,False,False,False,False,False,False,False
361,False,True,False,False,False,True,False,False,False
362,False,False,False,False,False,False,False,False,False
363,False,False,False,False,False,False,False,False,False
364,False,False,False,False,False,True,False,False,False
365,False,True,False,False,True,False,False,False,False
366,False,False,False,False,False,False,False,False,False
367,False,True,False,False,False,True,True,False,False
368,False,True,True,True,True,False,False,False,False
369,False,False,False,False,False,False,False,True,False
370,False,False,False,False,False,False,False,False,False
371,False,False,False,False,False,True,False,False,False
372,False,False,False,False,False,False,False,True,True
373,False,False,False,False,False,False,False,True,True
374,False,False,False,False,False,False,False,False,False
375,False,True,False,True,True,False,False,True,True
376,False,False,False,False,False,True,False,False,True
377,False,False,False,False,False,True,True,False,True
378,False,False,False,False,False,False,False,False,False
379,False,False,False,False,False,False,False,False,False
380,False,False,False,False,False,False,False,False,False
381,False,False,False,False,False,False,False,True,False
382,False,False,False,False,False,False,False,False,True
383,False,False,False,False,False,False,False,False,False
384,False,False,False,False,False,False,False,False,False
385,False,True,True,True,True,False,False,False,False
386,False,False,False,False,False,False,False,False,True
387,False,False,False,False,False,False,False,False,False
388,False,True,True,True,True,True,False,True,False
389,False,True,True,True,True,True,False,True,False
390,False,False,False,False,False,False,False,False,False
391,False,False,False,False,False,False,True,True,True
392,False,True,True,True,True,True,False,False,False
393,False,False,False,False,False,False,False,False,False
394,False,False,False,False,False,False,False,False,False
395,False,False,False,False,False,True,False,False,False
396,False,True,False,False,False,True,False,True,True
397,False,True,False,False,False,True,False,True,True
398,False,True,False,True,True,False,True,True,True
399,False,False,False,False,False,True,True,True,False
400,False,False,False,False,False,True,False,True,True
401,False,True,False,False,False,False,False,False,False
402,False,True,False,False,False,True,True,True,False
403,False,False,False,False,False,True,False,True,True
404,False,False,False,False,False,True,True,False,False
405,False,False,False,False,False,True,False,False,False
406,False,True,False,True,True,True,True,True,True
407,False,True,False,False,True,True,True,True,True
408,False,False,False,False,False,True,False,True,False
409,False,True,False,False,True,False,False,True,False
410,False,True,False,False,True,False,False,True,False
411,False,False,False,False,False,False,False,False,False
412,False,True,False,False,False,False,False,True,True
413,False,True,True,True,True,True,True,False,False
414,False,False,False,False,False,False,False,False,False
415,False,False,False,False,False,False,False,False,False
416,False,False,False,False,False,False,False,True,False
417,False,False,False,False,False,False,False,False,True
418,False,False,False,False,False,True,False,False,False
419,False,False,False,False,False,False,False,False,False
420,False,True,False,False,False,False,False,False,False
421,False,True,False,False,False,False,False,False,False
422,False,True,False,False,False,True,True,False,False
423,False,True,False,False,False,False,False,False,False
424,False,True,False,False,True,False,False,False,False
425,False,False,False,False,False,False,False,False,False
426,False,True,False,True,True,True,True,True,True
427,False,True,False,False,False,True,False,False,False
428,False,True,False,False,False,True,False,False,False
429,False,False,False,False,False,False,False,False,False
430,False,False,False,False,False,True,True,True,False
431,False,True,False,True,True,True,False,False,True
432,False,False,False,False,False,False,False,False,False
433,False,False,False,False,False,False,False,False,False
434,False,False,False,False,False,False,False,False,False
435,False,False,False,False,False,False,False,False,True
436,False,False,False,False,False,False,False,False,False
437,False,False,False,False,False,True,True,True,True
438,False,True,False,False,False,True,True,True,False
439,False,True,False,True,True,False,False,True,False
440,False,False,False,False,False,False,False,False,False
441,False,False,False,False,False,True,False,True,True
442,False,True,False,False,False,True,False,True,True
443,False,False,False,False,False,False,False,False,False
444,False,True,False,False,False,False,False,False,True
445,False,False,False,False,False,False,False,True,False
446,False,False,False,False,False,False,False,True,False
447,False,True,True,True,True,True,False,False,False
448,False,False,False,False,False,False,False,False,False
449,False,False,False,False,False,False,False,False,False
450,False,True,False,False,False,False,False,True,False
451,False,True,True,True,True,False,False,False,False
452,False,False,False,False,False,True,False,False,True
453,False,False,False,False,False,True,False,False,False
454,False,True,False,False,False,False,False,True,True
455,False,False,False,False,False,True,True,False,False
456,False,False,False,False,False,True,True,False,False
457,False,False,False,False,False,True,False,False,False
458,False,True,False,False,False,False,False,False,True
459,False,True,False,False,False,False,False,False,False
460,False,True,False,True,True,True,False,False,False
461,False,True,False,False,False,False,False,False,False
462,False,False,False,False,False,False,False,False,False
463,False,False,False,False,False,False,False,False,False
464,False,False,False,False,False,False,False,False,False
465,False,False,False,False,False,False,False,False,False
466,False,False,False,False,False,False,False,False,False
467,False,False,False,False,False,False,False,False,False
468,False,False,False,False,False,False,False,False,True
469,False,True,False,True,True,True,False,True,True
470,False,True,False,False,False,True,False,False,True
471,False,False,False,False,False,False,False,False,False
472,False,True,True,True,True,True,False,True,True
473,False,True,False,False,False,True,True,False,False
474,False,True,False,False,False,True,True,False,False
475,False,True,True,True,True,True,True,False,False
476,False,False,False,False,False,True,False,False,False
477,False,True,False,False,False,True,False,False,False
478,False,False,False,False,False,True,False,False,False
479,False,False,False,False,False,True,False,True,False
480,False,False,False,False,False,True,False,False,False
481,False,False,False,False,False,False,False,False,False
482,False,False,False,False,False,False,False,False,True
483,False,True,False,False,True,False,False,True,True
484,False,True,False,False,True,False,False,True,True
485,False,True,False,False,False,True,True,True,True
486,False,False,False,False,False,False,False,False,False
487,False,False,False,False,False,False,False,False,False
488,False,False,False,False,False,True,False,False,False
489,False,True,False,False,False,False,False,False,False
490,False,False,False,False,False,True,True,True,False
491,False,False,False,False,False,True,False,False,False
492,False,True,False,True,True,False,False,False,True
493,False,False,False,False,False,False,False,False,False
494,False,True,False,False,True,True,False,False,False
495,False,False,False,False,False,False,False,False,False
496,False,False,False,False,False,False,False,False,False
497,False,True,False,False,True,False,False,False,False
498,False,True,False,False,True,False,False,False,False
499,False,True,False,False,False,False,False,False,False
500,False,True,False,False,False,True,True,False,True
501,False,False,False,False,False,False,False,False,True
502,False,False,False,False,False,False,False,False,False
503,False,True,False,False,False,True,True,True,True
504,False,True,False,False,False,True,True,True,True
505,False,True,False,False,False,False,False,False,False
506,False,False,False,False,False,False,False,False,False
507,False,False,False,False,False,False,False,False,False
508,False,False,False,False,False,False,False,False,False
509,False,False,False,False,False,False,False,False,False
510,False,True,False,False,False,False,False,True,False
511,False,True,False,False,False,False,False,False,False
512,False,False,False,False,False,False,False,False,False
513,False,False,False,False,False,False,False,False,False
514,False,False,False,False,False,False,False,False,True
515,False,True,False,True,True,True,True,True,True
516,False,True,False,False,False,True,True,False,False
517,False,True,True,True,True,True,False,False,True
518,False,False,False,False,False,False,True,True,True
519,False,True,False,False,False,True,True,True,False
520,False,False,False,False,False,True,False,True,True
521,False,False,False,False,False,True,False,False,False
522,False,True,True,True,True,True,True,True,True
523,False,True,False,True,True,True,True,True,True
524,False,True,True,True,True,True,False,False,False
525,False,True,False,True,True,True,False,True,True
526,True,True,True,True,True,True,True,True,True
527,False,False,False,False,False,True,False,False,False
528,False,False,False,False,False,False,False,False,False
529,False,True,False,False,False,False,False,False,False
530,False,True,False,False,False,False,False,False,False
531,False,True,False,False,True,True,True,False,False
532,False,False,False,False,False,False,False,False,False
533,False,False,False,False,False,False,False,False,False
534,False,False,False,False,False,False,False,False,False
535,False,True,False,False,True,True,True,False,False
536,False,False,False,False,False,False,False,False,False
537,False,True,False,False,False,True,True,False,False
538,False,True,False,False,False,True,True,False,False
539,False,True,False,False,False,False,False,False,False
540,False,True,False,False,False,True,True,True,True
541,False,True,False,True,True,False,False,True,True
542,False,True,False,False,False,False,False,False,False
543,False,True,False,False,False,True,False,False,False
544,False,False,False,False,False,False,False,False,False
545,False,False,False,False,False,False,False,False,False
546,False,False,False,False,False,False,False,False,False
547,False,False,False,False,False,False,False,False,False
548,False,True,False,True,True,False,False,True,True
549,False,False,False,False,False,False,False,False,False
550,False,False,False,False,False,False,False,False,False
551,False,True,False,True,True,True,True,False,False
552,False,True,False,False,False,False,False,False,True
553,False,False,False,False,False,False,False,False,True
554,False,False,False,False,False,False,False,False,False
555,False,False,False,False,False,True,True,False,False
556,False,True,True,True,True,True,True,True,True
557,False,True,True,True,True,True,True,True,True
558,False,False,False,False,False,True,False,False,False
559,False,True,True,True,True,True,True,True,True
560,False,True,False,False,False,True,True,True,True
561,False,False,False,False,False,True,True,False,False
562,False,True,False,True,True,True,True,False,False
563,False,True,False,False,False,True,False,False,False
564,False,False,False,False,False,True,True,True,True
565,False,False,False,False,False,True,True,False,False
566,False,True,False,True,True,True,True,False,True
567,False,False,False,False,False,False,True,False,False
568,False,False,False,False,False,False,True,False,False
569,False,False,False,False,False,True,False,False,False
570,False,True,False,False,False,True,False,False,False
571,False,False,False,False,False,True,False,False,False
572,False,False,False,False,False,True,False,False,False
573,False,False,False,False,False,False,False,False,False
574,False,False,False,False,False,False,False,False,False
575,False,True,False,False,False,True,False,True,True
576,False,False,False,False,False,False,False,False,False
577,False,False,False,False,False,False,False,False,False
578,False,True,False,False,False,True,False,True,True
579,False,False,False,False,False,True,False,True,True
580,False,True,False,False,False,True,True,False,True
581,False,True,True,True,True,False,False,True,True
582,False,True,False,True,True,False,False,False,False
583,False,False,False,False,False,False,False,False,False
584,False,False,False,False,False,False,False,False,False
585,False,False,False,False,False,False,False,False,False
586,False,True,False,False,True,False,False,True,True
587,False,True,False,False,True,False,False,True,True
588,False,False,False,False,False,False,False,False,False
589,False,False,False,False,False,False,False,False,False
590,False,False,False,False,False,False,False,False,False
591,False,True,False,False,False,False,False,False,False
592,False,True,False,True,True,True,True,True,True
593,False,True,True,True,True,False,False,False,True
594,False,True,True,True,True,False,False,True,True
595,False,False,False,False,False,False,False,False,False
596,False,False,False,False,False,True,False,False,False
597,False,False,False,False,False,True,False,False,False
598,False,False,False,False,False,True,False,False,False
599,False,False,False,False,False,False,False,False,False
600,False,False,False,False,False,False,False,False,False
601,False,True,False,False,False,True,False,True,True
602,False,True,False,False,False,False,False,True,True
603,False,False,False,False,False,False,False,True,True
604,False,False,False,False,False,False,False,False,False
605,False,True,True,True,True,False,False,False,False
606,False,False,False,False,False,True,True,False,False
607,False,False,False,False,False,True,False,False,True
608,False,True,False,True,True,False,False,False,False
609,False,True,True,True,True,True,True,False,False
610,False,True,False,True,True,False,False,True,False
611,False,True,False,True,True,True,True,False,False
612,False,False,False,False,False,False,False,False,False
613,False,True,False,False,True,True,True,False,False
614,False,False,False,False,False,True,True,True,True
615,False,True,False,False,False,False,False,False,False
616,False,False,False,False,False,False,False,False,False
617,False,False,False,False,False,False,False,False,False
618,False,False,False,False,False,False,False,False,False
619,False,False,False,False,False,False,False,False,False
620,False,True,False,False,False,False,False,False,False
621,False,True,False,True,True,True,False,True,True
622,False,False,False,False,False,False,False,False,False
623,False,False,False,False,False,False,False,False,False
624,False,True,False,False,False,False,False,False,False
625,False,False,False,False,False,False,False,False,False
626,False,False,False,False,False,False,False,False,False
627,False,True,False,True,True,True,True,False,False
628,False,False,False,False,False,False,False,False,False
629,False,True,False,False,False,False,False,False,False
630,False,False,False,False,False,False,False,False,False
631,False,False,False,False,False,False,False,False,False
632,False,True,False,True,True,False,False,False,False
633,False,True,False,True,True,True,True,True,True
634,False,True,False,True,True,False,False,True,False
635,False,True,False,False,False,True,False,False,False
636,False,True,True,True,True,True,False,True,True
637,False,False,False,False,False,False,False,False,False
638,False,True,False,False,False,True,True,True,True
639,False,False,False,False,False,False,True,False,False
640,False,True,False,False,True,True,False,True,True
641,False,True,False,False,False,False,False,True,False
642,False,True,False,False,False,False,False,False,False
643,False,True,False,False,False,False,False,False,False
644,False,False,False,False,False,False,False,False,True
645,False,False,False,False,False,False,False,False,False
646,False,False,False,False,False,False,False,False,True
647,False,False,False,False,False,False,False,False,True
648,False,False,False,False,False,False,False,False,False
649,False,True,False,False,False,False,False,True,False
650,False,True,True,True,True,False,False,True,True
651,False,True,False,False,False,True,False,False,False
652,False,False,False,False,False,False,False,False,False
653,False,False,False,False,False,False,False,False,False
654,False,False,False,False,False,False,False,False,True
655,False,True,False,False,False,False,False,True,False
656,False,False,False,False,False,True,True,True,True
657,False,False,False,False,False,True,True,True,True
658,False,True,False,False,False,False,False,False,False
659,False,True,False,False,False,False,False,False,False
660,False,True,False,True,True,False,False,False,False
661,False,True,False,False,False,False,False,False,False
662,False,False,False,False,False,False,False,False,False
663,False,False,False,False,False,False,False,False,False
664,False,False,False,False,False,True,False,False,True
665,False,True,True,True,True,False,False,True,False
666,False,True,True,True,True,False,False,True,True
667,False,True,True,True,True,True,True,True,True
668,False,False,False,False,False,False,False,True,True
669,False,True,False,True,True,True,False,False,False
670,False,True,False,False,False,False,False,False,False
671,False,True,False,True,True,False,False,True,True
672,False,True,False,False,False,False,False,False,True
673,False,True,False,False,False,False,False,False,False
674,False,False,False,False,False,True,True,True,True
675,False,False,False,False,False,False,False,False,False
676,False,False,False,False,False,False,False,False,False
677,False,True,True,True,True,True,False,True,True
678,False,True,True,True,True,True,False,True,True
679,False,False,False,False,False,False,False,False,False
680,False,False,False,False,False,False,False,False,False
681,False,False,False,False,False,False,False,False,False
682,False,True,False,False,False,False,False,False,False
683,False,False,False,False,False,False,False,False,False
684,False,True,False,False,False,True,False,False,True
685,False,False,False,False,False,True,False,False,True
686,False,False,False,False,False,True,False,True,True
687,False,True,False,False,False,False,False,False,False
688,False,True,False,False,False,True,True,True,True
689,False,True,False,True,True,False,False,False,False
690,False,True,False,False,False,True,True,False,False
691,False,True,False,False,False,True,True,False,False
692,False,True,False,True,True,True,False,True,False
693,False,True,False,False,False,True,False,True,False
