id,train_or_test,cap_shape,shape,sColour,is_imputed,sColour_mode,sColour_smart
72,test,x,e,n,no,n,n
73,test,f,t,k,yes,w,n
74,test,x,t,n,yes,w,n
75,test,f,t,h,yes,w,n
76,test,x,t,k,yes,w,n
77,test,f,t,n,yes,w,n
78,test,f,e,h,no,h,h
79,test,x,t,n,yes,w,n
80,test,x,t,n,no,n,n
81,test,f,t,k,no,k,k
82,test,f,t,n,no,n,n
83,test,b,e,r,yes,w,n
84,test,f,e,r,no,r,r
85,test,f,e,n,yes,w,h
86,train,x,e,w,no,w,w
87,train,f,t,k,no,k,k
88,test,f,t,k,no,k,k
89,test,x,e,k,no,k,k
90,test,f,e,k,no,k,k
91,test,x,e,h,no,h,h
92,train,f,t,n,yes,w,n
93,test,x,e,h,no,h,h
94,train,f,t,k,no,k,k
95,test,x,t,w,no,w,w
96,test,x,t,w,no,w,w
97,test,f,t,w,no,w,w
98,test,x,e,k,no,k,k
99,test,f,e,w,no,w,w
100,test,x,e,w,no,w,w
101,test,f,t,k,no,k,k
102,train,k,t,w,no,w,w
103,test,k,t,w,no,w,w
104,test,f,e,h,no,h,h
105,test,s,e,k,no,k,k
106,test,k,t,w,no,w,w
107,test,f,t,n,no,n,n
108,train,f,t,n,no,n,n
109,test,x,t,h,no,h,h
110,test,x,t,w,no,w,w
111,train,f,e,h,no,h,h
112,test,k,e,w,no,w,w
113,train,k,t,w,no,w,w
114,test,x,e,h,no,h,h
115,test,f,e,h,no,h,h
116,test,x,t,n,no,n,n
117,train,x,t,w,yes,w,n
118,train,x,e,h,no,h,h
119,test,f,t,n,yes,w,n
120,test,k,t,w,yes,w,w
121,test,f,t,k,no,k,k
122,test,x,e,n,no,n,n
123,test,x,e,k,no,k,k
124,test,f,t,n,no,n,n
125,test,x,e,w,no,w,w
126,test,f,e,h,no,h,h
127,test,x,t,w,no,w,w
128,test,x,t,n,no,n,n
129,train,f,t,u,no,u,u
130,test,f,e,w,no,w,w
131,train,x,e,y,no,y,y
132,test,x,t,k,no,k,k
133,test,b,e,r,no,r,r
134,train,f,e,w,no,w,w
135,test,k,t,w,no,w,w
136,test,f,t,w,yes,w,n
137,test,f,e,n,yes,w,h
138,test,b,e,r,no,r,r
139,train,f,t,n,no,n,n
140,test,x,t,w,no,w,w
141,test,x,t,w,no,w,w
142,train,k,t,w,no,w,w
143,test,x,e,h,no,h,h
144,test,x,e,k,no,k,k
145,test,x,t,k,no,k,k
146,test,x,e,n,yes,w,h
147,train,k,e,y,yes,w,w
148,test,f,e,k,no,k,k
149,test,x,t,n,yes,w,n
150,test,f,e,h,no,h,h
151,train,x,e,n,no,n,n
152,test,x,t,w,yes,w,n
153,test,x,t,k,no,k,k
154,train,x,e,w,no,w,w
155,train,x,t,h,no,h,h
156,test,b,e,r,no,r,r
157,test,x,t,k,yes,w,n
158,test,x,e,h,no,h,h
159,test,x,e,w,no,w,w
160,test,x,e,h,yes,w,h
161,train,x,t,n,yes,w,n
162,test,x,t,k,no,k,k
163,train,k,e,o,yes,w,w
164,test,x,t,n,no,n,n
165,test,f,t,n,no,n,n
166,test,x,e,k,no,k,k
167,test,f,t,k,no,k,k
168,test,f,e,h,yes,w,h
169,test,x,e,k,no,k,k
170,train,f,t,n,yes,w,n
171,test,k,e,w,no,w,w
172,test,x,e,k,yes,w,h
173,test,x,e,n,no,n,n
174,train,f,t,n,no,n,n
175,train,b,e,k,no,k,k
176,train,f,t,n,no,n,n
177,test,f,t,w,no,w,w
178,test,f,t,n,no,n,n
179,test,f,t,h,no,h,h
180,train,x,t,h,yes,w,n
181,test,x,e,h,yes,w,h
182,train,x,e,w,no,w,w
183,test,f,e,h,no,h,h
184,test,x,t,w,no,w,w
185,test,b,e,w,no,w,w
186,test,b,e,o,no,o,o
187,train,f,t,w,yes,w,n
188,test,x,e,k,no,k,k
189,test,k,e,n,yes,w,w
190,test,f,e,h,no,h,h
191,test,k,t,w,no,w,w
192,test,f,t,n,yes,w,n
193,test,k,t,w,no,w,w
194,test,x,e,k,no,k,k
195,test,x,e,k,no,k,k
196,test,x,t,n,no,n,n
197,test,x,t,k,no,k,k
198,test,x,t,h,no,h,h
199,train,x,e,n,no,n,n
200,train,b,e,w,no,w,w
201,test,b,e,y,no,y,y
202,test,f,t,w,no,w,w
203,train,x,t,w,yes,w,n
204,test,f,e,h,no,h,h
205,train,f,t,w,yes,w,n
206,train,x,t,k,yes,w,n
207,test,x,e,k,no,k,k
208,test,x,t,w,no,w,w
209,test,x,t,k,no,k,k
210,test,x,t,w,no,w,w
211,test,x,t,w,yes,w,n
212,train,k,e,w,no,w,w
213,test,k,t,w,no,w,w
214,test,x,t,u,yes,w,n
215,test,b,e,n,no,n,n
216,test,x,e,h,no,h,h
217,test,f,t,n,no,n,n
218,test,f,t,h,no,h,h
219,test,x,t,n,yes,w,n
220,test,x,e,k,no,k,k
221,test,x,t,k,yes,w,n
222,test,x,t,n,no,n,n
223,test,x,e,n,no,n,n
224,test,f,t,w,no,w,w
225,train,f,t,n,no,n,n
226,train,f,t,w,yes,w,n
227,train,f,t,w,no,w,w
228,test,k,t,w,no,w,w
229,test,x,e,w,no,w,w
230,test,f,e,h,no,h,h
231,test,f,t,k,no,k,k
232,test,x,e,h,no,h,h
233,test,f,t,w,yes,w,n
234,train,k,t,w,no,w,w
235,test,x,t,w,no,w,w
236,train,x,t,w,no,w,w
237,train,b,e,k,yes,w,n
238,train,f,t,n,no,n,n
239,test,x,e,n,no,n,n
240,test,x,t,w,yes,w,n
241,train,f,e,h,yes,w,h
242,test,b,e,n,no,n,n
243,train,k,t,w,no,w,w
244,test,f,t,w,no,w,w
245,test,f,e,h,no,h,h
246,test,x,e,n,no,n,n
247,train,f,e,h,no,h,h
248,test,f,t,h,no,h,h
249,test,f,t,k,no,k,k
250,train,k,e,w,no,w,w
251,train,k,e,w,no,w,w
252,train,x,t,w,no,w,w
253,test,x,t,n,no,n,n
254,train,f,e,h,no,h,h
255,test,f,e,h,no,h,h
256,test,f,e,h,no,h,h
257,test,x,e,k,yes,w,h
258,test,x,e,w,yes,w,h
259,test,k,t,w,no,w,w
260,test,x,e,n,no,n,n
261,test,x,t,h,no,h,h
262,train,f,e,n,no,n,n
263,test,f,t,n,no,n,n
264,test,x,t,w,no,w,w
265,train,x,t,k,no,k,k
266,test,f,t,k,no,k,k
267,test,k,e,o,no,o,o
268,test,k,t,w,no,w,w
269,test,b,e,o,no,o,o
270,train,x,t,w,yes,w,n
271,test,x,t,w,no,w,w
272,test,f,e,h,no,h,h
273,test,k,t,w,no,w,w
274,train,x,e,n,no,n,n
275,test,k,e,w,no,w,w
276,train,b,e,n,no,n,n
277,test,x,e,h,no,h,h
278,train,x,t,n,no,n,n
279,test,x,t,n,no,n,n
280,test,f,t,n,no,n,n
281,test,x,e,k,no,k,k
282,train,x,e,k,yes,w,h
283,train,x,e,n,no,n,n
284,train,b,e,k,no,k,k
285,test,b,e,k,no,k,k
286,train,x,e,w,no,w,w
287,train,f,e,o,no,o,o
288,test,f,e,h,no,h,h
289,train,x,e,h,no,h,h
290,test,x,e,h,no,h,h
291,test,x,t,k,no,k,k
292,test,x,t,k,no,k,k
293,test,f,t,n,no,n,n
294,test,f,t,n,yes,w,n
295,test,x,t,w,yes,w,n
296,test,k,e,w,no,w,w
297,test,f,e,h,no,h,h
298,test,f,t,n,yes,w,n
299,test,x,t,n,no,n,n
300,test,f,t,n,yes,w,n
301,train,f,t,n,no,n,n
302,train,k,t,w,no,w,w
303,test,x,e,h,yes,w,h
304,test,s,e,k,yes,w,n
305,train,x,e,k,no,k,k
306,train,x,e,h,yes,w,h
307,test,x,e,h,no,h,h
308,test,f,t,w,no,w,w
309,train,f,t,w,no,w,w
310,test,x,t,n,no,n,n
311,train,b,e,w,no,w,w
312,test,k,e,w,no,w,w
313,test,x,t,w,yes,w,n
314,train,x,t,w,no,w,w
315,test,f,t,n,no,n,n
316,train,x,t,n,no,n,n
317,test,x,e,h,no,h,h
318,test,f,t,w,yes,w,n
319,train,x,e,h,no,h,h
320,train,f,t,n,no,n,n
321,test,f,e,n,no,n,n
322,test,f,t,k,no,k,k
323,train,x,e,h,no,h,h
324,test,f,t,n,no,n,n
325,test,k,t,w,no,w,w
326,test,x,t,k,no,k,k
327,test,x,e,n,no,n,n
328,test,x,e,n,yes,w,h
329,test,k,e,w,no,w,w
330,train,b,e,y,no,y,y
331,test,f,t,w,yes,w,n
332,train,f,t,n,no,n,n
333,train,x,t,w,no,w,w
334,test,f,e,h,no,h,h
335,test,f,e,h,no,h,h
336,test,f,t,n,no,n,n
337,test,x,t,n,no,n,n
338,test,f,e,h,yes,w,h
339,test,f,t,w,no,w,w
340,test,x,e,n,yes,w,h
341,test,x,t,w,no,w,w
342,test,f,e,h,no,h,h
343,test,x,e,k,yes,w,h
344,train,k,t,w,no,w,w
345,test,f,t,k,no,k,k
346,train,x,t,h,no,h,h
347,test,f,e,w,no,w,w
348,train,f,t,n,yes,w,n
349,test,x,e,n,no,n,n
350,test,f,e,w,no,w,w
351,train,x,e,h,yes,w,h
352,test,f,t,n,no,n,n
353,train,f,e,h,yes,w,h
354,test,f,t,n,no,n,n
355,test,f,t,w,yes,w,n
356,train,k,t,w,no,w,w
357,test,f,e,h,yes,w,h
358,test,f,e,k,yes,w,h
359,test,x,t,n,no,n,n
360,test,k,e,w,no,w,w
361,test,x,e,n,no,n,n
362,test,k,t,w,no,w,w
363,test,x,t,n,no,n,n
364,test,f,t,w,no,w,w
365,test,k,e,w,no,w,w
366,test,x,e,k,no,k,k
367,test,f,e,n,no,n,n
368,test,x,t,n,no,n,n
369,train,f,t,k,no,k,k
370,test,x,t,h,no,h,h
371,test,f,t,k,no,k,k
372,test,x,e,n,no,n,n
373,test,f,t,k,no,k,k
374,test,f,t,n,yes,w,n
375,train,b,e,w,yes,w,n
376,train,x,t,w,yes,w,n
377,test,x,e,k,yes,w,h
378,test,x,t,n,no,n,n
379,test,x,t,n,no,n,n
380,train,f,t,n,no,n,n
381,train,x,t,w,no,w,w
382,test,f,t,n,no,n,n
383,test,x,t,n,no,n,n
384,test,f,t,n,yes,w,n
385,train,x,e,n,no,n,n
386,train,k,t,w,no,w,w
387,test,b,e,b,no,b,b
388,test,k,t,w,no,w,w
389,test,x,e,h,no,h,h
390,test,x,e,h,no,h,h
391,test,k,t,w,no,w,w
392,train,x,e,k,no,k,k
393,train,x,t,w,no,w,w
394,test,x,t,k,no,k,k
395,test,f,t,k,no,k,k
396,test,f,t,k,yes,w,n
397,train,x,e,h,yes,w,h
398,test,x,e,h,yes,w,h
399,train,x,e,y,yes,w,h
400,test,b,e,n,yes,w,n
401,test,x,t,n,no,n,n
402,train,k,t,w,no,w,w
403,test,b,e,r,no,r,r
404,test,f,t,h,no,h,h
405,test,b,e,n,no,n,n
406,test,x,e,k,no,k,k
407,train,f,t,k,no,k,k
408,test,x,e,w,no,w,w
409,test,f,t,n,no,n,n
410,test,f,e,h,no,h,h
411,test,x,t,n,yes,w,n
412,train,x,t,k,no,k,k
413,test,f,t,w,no,w,w
414,test,f,e,w,no,w,w
415,test,x,t,n,no,n,n
416,test,f,t,w,yes,w,n
417,test,f,t,w,no,w,w
418,test,x,e,h,no,h,h
419,test,x,t,n,no,n,n
420,test,x,t,k,no,k,k
421,test,x,e,n,no,n,n
422,test,k,t,w,yes,w,w
423,test,k,t,w,no,w,w
424,test,x,t,n,yes,w,n
425,test,x,e,k,no,k,k
426,train,f,t,w,yes,w,n
427,test,f,t,w,no,w,w
428,test,b,e,n,no,n,n
429,test,x,e,o,yes,w,h
430,test,x,t,w,no,w,w
431,test,f,e,w,yes,w,h
432,train,x,e,w,no,w,w
433,test,x,t,n,no,n,n
434,test,f,e,h,no,h,h
435,test,x,t,n,no,n,n
436,train,f,t,n,no,n,n
437,test,k,t,w,no,w,w
438,test,x,t,w,no,w,w
439,test,f,t,h,no,h,h
440,test,f,t,w,no,w,w
441,train,f,t,n,no,n,n
442,test,x,e,h,yes,w,h
443,test,f,t,n,yes,w,n
444,test,x,t,n,no,n,n
445,test,f,e,w,no,w,w
446,test,f,t,w,no,w,w
447,train,b,e,b,no,b,b
448,test,k,t,w,no,w,w
449,test,f,t,h,yes,w,n
450,train,x,e,n,no,n,n
451,train,f,t,n,no,n,n
452,test,x,e,w,yes,w,h
453,test,b,e,k,yes,w,n
454,test,f,t,w,no,w,w
455,test,k,t,w,yes,w,w
456,test,f,t,k,no,k,k
457,test,f,e,h,no,h,h
458,test,k,e,w,no,w,w
459,test,f,t,u,yes,w,n
460,train,x,e,w,no,w,w
461,test,x,e,y,no,y,y
462,test,f,e,h,yes,w,h
463,train,x,e,o,no,o,o
464,test,x,e,h,no,h,h
465,test,f,e,h,no,h,h
466,test,f,t,h,no,h,h
467,test,x,t,k,no,k,k
468,test,x,t,n,no,n,n
469,test,x,e,k,no,k,k
470,test,f,e,h,no,h,h
471,train,x,t,k,no,k,k
472,train,f,t,k,no,k,k
473,test,f,t,n,no,n,n
474,test,x,e,k,yes,w,h
475,test,f,t,w,no,w,w
476,test,f,t,w,no,w,w
477,train,f,t,k,no,k,k
478,test,k,t,w,yes,w,w
479,test,x,e,k,no,k,k
480,test,f,e,n,no,n,n
481,test,f,t,k,no,k,k
482,test,f,e,n,no,n,n
483,test,f,e,h,no,h,h
484,train,x,t,w,no,w,w
485,test,f,t,w,no,w,w
486,train,x,e,k,no,k,k
487,test,x,e,k,yes,w,h
488,train,f,e,h,no,h,h
489,test,x,t,k,yes,w,n
490,test,x,t,w,no,w,w
491,train,x,t,n,yes,w,n
492,test,x,e,h,no,h,h
493,train,f,t,w,yes,w,n
494,test,x,t,n,no,n,n
495,train,f,t,w,no,w,w
496,test,b,e,k,no,k,k
497,train,x,t,n,no,n,n
498,test,b,e,r,no,r,r
499,train,x,e,h,no,h,h
500,test,x,e,h,no,h,h
501,train,f,t,w,no,w,w
502,test,f,t,n,no,n,n
503,test,x,t,h,yes,w,n
504,test,b,e,n,no,n,n
505,train,x,e,n,no,n,n
506,train,f,e,h,no,h,h
507,test,f,e,h,no,h,h
508,test,x,t,w,yes,w,n
509,test,f,e,n,no,n,n
510,test,f,t,n,no,n,n
511,train,k,t,w,yes,w,w
512,test,k,t,w,no,w,w
513,test,x,t,w,no,w,w
514,test,f,t,n,no,n,n
515,test,f,e,b,no,b,b
516,train,x,t,w,yes,w,n
517,train,x,e,w,no,w,w
518,train,x,e,w,no,w,w
519,test,x,e,n,no,n,n
520,test,x,e,n,no,n,n
521,test,k,t,w,no,w,w
522,test,f,t,k,yes,w,n
523,test,f,t,n,no,n,n
524,test,x,t,k,no,k,k
525,test,f,e,k,yes,w,h
526,test,k,t,w,yes,w,w
527,train,f,t,n,no,n,n
528,test,x,e,k,no,k,k
529,test,x,e,n,no,n,n
530,test,x,e,h,no,h,h
531,test,x,t,k,no,k,k
532,test,k,t,w,no,w,w
533,train,f,t,k,yes,w,n
534,test,x,t,k,no,k,k
535,test,k,t,w,no,w,w
536,test,b,e,n,yes,w,n
537,test,x,e,k,yes,w,h
538,test,f,t,n,no,n,n
539,test,x,t,k,no,k,k
540,test,k,t,w,no,w,w
541,train,x,t,w,no,w,w
542,train,f,e,h,no,h,h
543,test,f,t,k,yes,w,n
544,test,f,t,k,no,k,k
545,test,k,t,w,no,w,w
546,test,x,t,n,yes,w,n
547,test,x,e,h,no,h,h
548,test,x,e,h,no,h,h
549,train,x,t,k,no,k,k
550,test,f,t,k,no,k,k
551,test,x,t,w,no,w,w
552,test,x,e,h,yes,w,h
553,test,f,t,k,yes,w,n
554,test,x,t,w,no,w,w
555,test,k,t,w,yes,w,w
556,train,x,e,k,no,k,k
557,train,f,t,n,yes,w,n
558,test,x,t,n,no,n,n
559,test,x,e,h,no,h,h
560,test,x,e,k,yes,w,h
561,train,f,e,n,no,n,n
562,test,f,e,n,no,n,n
563,test,k,t,w,no,w,w
564,train,f,t,n,no,n,n
565,test,x,e,w,no,w,w
566,test,f,e,n,no,n,n
567,test,x,e,h,yes,w,h
568,test,f,t,k,yes,w,n
569,train,f,t,w,no,w,w
570,test,k,t,w,no,w,w
571,test,f,t,k,yes,w,n
572,test,f,e,h,yes,w,h
573,train,k,t,w,no,w,w
574,test,x,t,n,no,n,n
575,test,f,t,n,no,n,n
576,test,x,e,k,no,k,k
577,test,x,t,n,no,n,n
578,test,x,t,k,no,k,k
579,test,k,t,w,yes,w,w
580,test,x,t,k,no,k,k
581,test,x,t,w,yes,w,n
582,test,x,t,n,no,n,n
583,test,x,e,k,no,k,k
584,train,k,t,w,no,w,w
585,test,x,e,h,no,h,h
586,train,x,e,n,no,n,n
587,test,f,t,w,no,w,w
588,test,k,e,w,no,w,w
589,test,x,t,k,no,k,k
590,test,b,e,w,no,w,w
591,train,x,t,k,no,k,k
592,test,x,e,h,no,h,h
593,test,k,t,w,no,w,w
594,test,f,t,n,no,n,n
595,test,f,e,w,no,w,w
596,test,k,e,o,no,o,o
597,train,x,e,k,no,k,k
598,train,f,e,k,yes,w,h
599,train,b,e,y,no,y,y
600,test,f,t,n,no,n,n
601,test,f,e,n,no,n,n
602,test,f,e,h,yes,w,h
603,train,f,t,n,no,n,n
604,test,b,e,k,no,k,k
605,test,f,e,h,no,h,h
606,train,k,t,w,yes,w,w
607,test,f,t,w,no,w,w
608,test,x,e,h,no,h,h
609,test,f,t,k,no,k,k
610,test,x,t,k,no,k,k
611,train,f,t,w,no,w,w
612,test,x,e,k,no,k,k
613,train,x,t,w,no,w,w
614,test,f,e,n,no,n,n
615,test,x,e,h,no,h,h
616,train,k,t,w,no,w,w
617,test,f,t,w,yes,w,n
618,test,f,t,h,no,h,h
619,test,x,t,k,no,k,k
620,test,x,t,n,no,n,n
621,test,x,t,n,yes,w,n
622,test,f,t,w,no,w,w
623,test,f,e,h,no,h,h
624,test,f,t,w,no,w,w
625,train,x,t,h,no,h,h
626,test,x,t,k,no,k,k
627,test,x,e,h,no,h,h
628,test,x,t,w,no,w,w
629,test,f,t,k,no,k,k
630,test,f,t,k,yes,w,n
631,train,x,e,w,no,w,w
632,test,k,t,w,no,w,w
633,test,x,t,k,no,k,k
634,test,k,t,w,no,w,w
635,test,f,t,k,no,k,k
636,test,x,e,h,no,h,h
637,test,x,t,k,no,k,k
638,test,k,t,w,no,w,w
639,test,b,e,o,no,o,o
640,train,f,t,n,no,n,n
641,test,x,t,k,yes,w,n
642,train,x,t,n,no,n,n
643,test,x,e,h,no,h,h
644,train,f,e,h,no,h,h
645,train,f,t,h,no,h,h
646,test,f,e,n,no,n,n
647,test,x,t,h,no,h,h
648,test,x,t,n,yes,w,n
649,test,f,t,n,no,n,n
650,test,f,e,k,no,k,k
651,test,f,t,w,no,w,w
652,test,b,e,n,no,n,n
653,test,x,t,w,no,w,w
654,train,x,e,h,no,h,h
655,train,f,e,h,yes,w,h
656,train,f,t,k,no,k,k
657,test,x,t,n,yes,w,n
658,test,k,t,w,no,w,w
659,test,f,e,h,no,h,h
660,test,x,t,h,no,h,h
661,test,f,e,h,no,h,h
662,train,f,t,k,no,k,k
663,test,x,e,h,no,h,h
664,train,x,t,n,no,n,n
665,test,f,e,w,no,w,w
666,train,f,e,w,no,w,w
667,test,x,t,k,no,k,k
668,train,f,e,h,no,h,h
669,test,f,t,n,no,n,n
670,test,f,e,r,yes,w,h
671,test,x,e,h,yes,w,h
672,test,x,t,w,no,w,w
673,train,f,t,n,no,n,n
674,test,f,t,n,no,n,n
675,train,f,t,w,yes,w,n
676,test,x,t,w,no,w,w
677,train,f,e,h,no,h,h
678,test,f,t,k,no,k,k
679,test,f,t,k,no,k,k
680,train,f,e,h,no,h,h
681,test,x,e,k,no,k,k
682,test,x,e,w,no,w,w
683,test,x,e,h,no,h,h
684,train,x,e,w,no,w,w
685,test,f,t,n,no,n,n
686,test,x,t,n,no,n,n
687,test,f,t,h,yes,w,n
688,test,x,t,w,no,w,w
689,test,x,t,k,no,k,k
690,test,x,e,h,yes,w,h
691,train,x,t,k,no,k,k
692,train,x,t,h,no,h,h
693,test,f,t,n,yes,w,n
694,train,f,e,h,no,h,h
695,test,x,e,n,yes,w,h
696,test,x,t,n,no,n,n
697,train,f,t,n,no,n,n
698,test,f,t,k,yes,w,n
699,test,f,e,h,no,h,h
700,test,f,t,n,no,n,n
701,test,x,t,k,no,k,k
702,train,f,e,h,no,h,h
703,test,f,e,n,no,n,n
704,test,f,t,k,no,k,k
705,train,f,e,h,no,h,h
706,test,f,e,h,no,h,h
707,train,x,e,h,no,h,h
708,test,f,t,h,no,h,h
709,test,x,t,n,no,n,n
710,test,x,e,k,yes,w,h
711,test,x,e,k,no,k,k
712,train,x,t,k,no,k,k
713,test,k,e,w,no,w,w
714,train,x,t,w,no,w,w
715,test,x,e,w,no,w,w
716,test,x,e,h,no,h,h
717,train,x,t,n,no,n,n
718,test,f,e,h,no,h,h
719,test,f,t,h,no,h,h
720,test,x,e,n,no,n,n
721,test,f,t,k,no,k,k
722,test,x,t,k,no,k,k
723,train,f,e,w,no,w,w
724,test,x,e,h,yes,w,h
725,test,x,e,h,yes,w,h
726,test,f,e,h,no,h,h
727,test,k,t,w,no,w,w
728,test,b,e,n,no,n,n
729,test,x,e,h,no,h,h
730,test,f,t,n,no,n,n
731,test,x,t,n,yes,w,n
732,test,x,t,h,no,h,h
733,train,x,t,w,no,w,w
734,test,x,e,n,no,n,n
735,train,x,t,h,no,h,h
736,test,k,e,w,no,w,w
737,test,f,t,n,no,n,n
738,train,f,t,k,no,k,k
739,test,f,t,n,no,n,n
740,train,f,e,w,no,w,w
741,test,x,t,n,no,n,n
742,train,f,t,n,no,n,n
743,test,f,t,k,yes,w,n
744,test,x,t,n,yes,w,n
745,test,f,e,h,yes,w,h
746,train,k,t,w,no,w,w
747,test,x,e,h,no,h,h
748,test,f,t,w,no,w,w
749,test,x,e,w,no,w,w
750,test,f,t,h,no,h,h
751,train,x,e,h,no,h,h
752,train,x,t,k,no,k,k
753,train,f,t,n,no,n,n
754,train,x,t,w,yes,w,n
755,train,f,e,n,no,n,n
756,train,x,e,h,no,h,h
757,test,b,e,n,no,n,n
758,test,x,t,n,no,n,n
759,test,f,t,n,no,n,n
760,train,b,e,k,no,k,k
761,test,x,e,h,no,h,h
762,test,x,t,k,yes,w,n
763,train,x,e,k,no,k,k
764,test,b,e,o,no,o,o
765,test,f,e,h,no,h,h
766,test,k,t,w,no,w,w
767,train,k,t,w,no,w,w
768,test,x,t,n,no,n,n
769,test,x,e,h,no,h,h
770,test,f,t,n,yes,w,n
771,test,f,e,k,no,k,k
772,train,f,t,k,no,k,k
773,test,f,t,k,no,k,k
774,train,f,e,h,no,h,h
775,test,f,e,h,no,h,h
776,test,k,t,w,no,w,w
777,train,x,t,k,no,k,k
778,test,f,t,n,no,n,n
779,test,f,t,n,yes,w,n
780,train,k,t,w,no,w,w
781,test,x,t,n,no,n,n
782,test,x,e,k,no,k,k
783,test,x,e,h,yes,w,h
784,train,x,e,k,no,k,k
785,train,f,t,k,no,k,k
786,test,f,t,n,no,n,n
787,train,x,t,n,no,n,n
788,test,x,e,k,no,k,k
789,train,f,t,n,no,n,n
790,test,x,t,n,no,n,n
791,train,x,t,k,no,k,k
792,test,f,e,h,no,h,h
793,test,f,t,w,yes,w,n
794,test,b,e,k,no,k,k
795,test,f,t,w,no,w,w
796,train,x,t,k,no,k,k
797,train,f,t,k,yes,w,n
798,train,f,e,k,no,k,k
799,test,x,t,n,no,n,n
800,train,f,t,k,no,k,k
801,test,x,t,k,no,k,k
802,train,k,e,y,no,y,y
803,train,x,t,k,no,k,k
804,test,x,e,n,no,n,n
805,train,f,t,k,no,k,k
806,test,f,t,n,no,n,n
807,train,k,e,w,no,w,w
808,test,x,t,h,no,h,h
809,train,x,t,k,no,k,k
810,test,b,e,w,yes,w,n
811,test,x,e,k,no,k,k
812,train,b,e,r,no,r,r
813,test,k,t,w,no,w,w
814,test,f,e,y,yes,w,h
815,train,x,t,n,yes,w,n
816,test,f,e,b,no,b,b
817,test,x,t,n,no,n,n
818,train,x,e,h,no,h,h
819,test,x,t,k,no,k,k
820,test,f,t,n,no,n,n
821,test,f,t,n,no,n,n
822,train,x,e,n,yes,w,h
823,test,x,e,n,no,n,n
824,test,x,e,n,yes,w,h
825,train,x,e,n,no,n,n
826,train,x,t,n,no,n,n
827,test,x,e,k,no,k,k
828,train,x,e,k,yes,w,h
829,train,x,t,w,no,w,w
830,test,x,e,k,yes,w,h
831,train,f,e,h,no,h,h
832,test,b,e,w,no,w,w
833,test,f,e,h,no,h,h
834,test,f,e,h,no,h,h
835,test,x,e,w,no,w,w
836,train,x,t,k,no,k,k
837,test,x,e,k,no,k,k
838,test,x,t,k,no,k,k
839,test,x,t,u,no,u,u
840,test,f,t,w,no,w,w
841,test,x,e,n,yes,w,h
842,test,b,e,k,no,k,k
843,train,x,t,w,no,w,w
844,train,x,e,h,yes,w,h
845,test,x,e,k,no,k,k
846,test,x,t,w,no,w,w
847,test,b,e,w,yes,w,n
848,train,x,e,h,no,h,h
849,test,x,t,n,no,n,n
850,train,x,e,h,no,h,h
851,train,k,e,w,no,w,w
852,test,x,t,n,no,n,n
853,train,f,t,k,yes,w,n
854,test,f,t,w,no,w,w
855,train,x,e,k,no,k,k
856,test,x,t,n,no,n,n
857,test,x,e,h,no,h,h
