id,actual,clean,mode,smart
590,p,e,e,e
591,e,e,e,e
592,p,p,p,p
593,p,p,p,p
594,e,e,e,e
595,e,e,p,e
596,e,e,e,e
597,e,e,e,e
598,p,e,p,p
599,e,e,e,e
600,e,e,e,e
601,p,e,e,e
602,p,p,p,p
603,e,e,e,e
604,e,e,e,e
605,p,p,p,p
606,p,p,p,p
607,p,p,p,p
608,p,p,p,p
609,e,e,e,e
610,e,e,e,e
611,p,p,p,p
612,e,e,e,e
613,p,p,p,p
614,e,e,e,e
615,p,p,p,p
616,p,p,p,p
617,p,p,p,e
618,p,p,p,p
619,e,e,e,e
620,e,e,e,e
621,e,e,p,e
622,p,p,p,p
623,p,p,p,p
624,p,p,p,p
625,p,p,p,p
626,e,e,e,e
627,p,p,p,p
628,p,p,p,p
629,e,e,e,e
630,e,e,p,e
631,e,e,e,e
632,p,p,p,p
633,e,e,e,e
634,p,p,p,p
635,e,e,e,e
636,p,p,p,p
637,e,e,e,e
638,p,p,p,p
639,e,e,e,e
640,e,e,e,e
641,e,e,p,e
642,e,e,e,e
643,p,p,p,p
644,p,p,p,p
645,p,p,p,p
646,e,e,e,e
647,p,p,p,p
648,e,e,p,e
649,e,e,e,e
650,e,e,e,e
651,p,p,p,p
652,e,e,e,e
653,p,p,p,p
654,p,p,p,p
655,p,p,p,p
656,e,e,e,e
657,e,e,p,e
658,p,p,p,p
659,p,p,p,p
660,p,p,p,p
661,p,p,p,p
662,e,e,e,e
663,p,p,p,p
664,e,e,e,e
665,e,e,p,e
666,e,e,p,e
667,e,e,e,e
668,p,p,p,p
669,e,e,e,e
670,p,p,p,p
671,p,p,e,p
672,p,p,p,p
673,e,e,e,e
674,e,e,e,e
675,p,p,p,e
676,p,p,p,p
677,p,p,p,p
678,e,e,e,e
679,e,e,e,e
680,p,p,p,p
681,e,e,e,e
682,e,e,e,e
683,p,p,p,p
684,e,e,e,e
685,e,e,e,e
686,e,e,e,e
687,p,p,p,e
688,p,p,p,p
689,e,e,e,e
690,p,p,e,p
691,e,e,e,e
692,p,p,p,p
693,e,e,p,e
694,p,p,p,p
695,e,e,e,p
696,e,e,e,e
697,e,e,e,e
698,e,e,p,e
699,p,p,p,p
700,e,e,e,e
701,e,e,e,e
702,p,p,p,p
703,e,e,e,e
704,e,e,e,e
705,p,p,p,p
706,p,p,p,p
707,p,p,p,p
708,p,p,p,p
709,e,e,e,e
710,e,e,e,p
711,p,e,e,e
712,e,e,e,e
713,e,e,e,e
714,p,p,p,p
715,e,e,e,e
716,p,p,p,p
717,e,e,e,e
718,p,p,p,p
719,p,p,p,p
720,e,e,e,e
721,e,e,e,e
722,e,e,e,e
723,e,e,p,e
724,p,p,e,p
725,p,p,e,p
726,p,p,p,p
727,p,p,p,p
728,e,e,e,e
729,p,p,p,p
730,e,e,e,e
731,e,e,p,e
732,p,p,p,p
733,p,p,p,p
734,e,e,e,e
735,p,p,p,p
736,e,e,e,e
737,e,e,e,e
738,e,e,e,e
739,e,e,e,e
740,p,e,p,e
741,e,e,e,e
742,e,e,e,e
743,e,e,p,e
744,e,e,p,e
745,p,p,p,p
746,p,p,p,p
747,p,p,p,p
748,p,p,p,p
749,e,e,e,e
750,p,p,p,p
751,p,p,p,p
752,e,e,e,e
753,e,e,e,e
754,p,p,p,e
755,e,e,e,e
756,p,p,p,p
757,e,e,e,e
758,e,e,e,e
759,e,e,e,e
760,e,e,e,e
761,p,p,p,p
762,e,e,p,e
763,e,e,e,e
764,e,e,e,e
765,p,p,p,p
766,p,p,p,p
767,p,p,p,p
768,e,e,e,e
769,p,p,p,p
770,e,e,p,e
771,e,e,e,e
772,e,e,e,e
773,e,e,e,e
774,p,p,p,p
775,p,p,p,p
776,p,p,p,p
777,e,e,e,e
778,e,e,e,e
779,e,e,p,e
780,p,p,p,p
781,e,e,e,e
782,e,e,e,e
783,p,p,e,p
784,e,e,e,e
785,e,e,e,e
786,e,e,e,e
787,e,e,e,e
788,e,e,e,e
789,e,e,e,e
790,e,e,e,e
791,e,e,e,e
792,p,p,p,p
793,p,p,p,e
794,e,e,e,e
795,p,p,p,p
796,e,e,e,e
797,e,e,p,e
798,p,e,e,e
799,e,e,e,e
800,e,e,e,e
801,e,e,e,e
802,e,e,e,e
803,e,e,e,e
804,p,e,e,e
805,e,e,e,e
806,e,e,e,e
807,p,e,e,e
808,p,p,p,p
809,e,e,e,e
810,p,e,e,e
811,p,e,e,e
812,p,p,p,p
813,p,p,p,p
814,e,e,p,p
815,e,e,p,e
816,e,e,e,e
817,e,e,e,e
818,p,p,p,p
819,e,e,e,e
820,e,e,e,e
821,e,e,e,e
822,p,e,e,p
823,p,e,e,e
824,e,e,e,p
825,p,e,e,e
826,e,e,e,e
827,p,e,e,e
828,e,e,e,p
829,p,p,p,p
830,p,e,e,p
831,p,p,p,p
832,e,e,e,e
833,p,p,p,p
834,p,p,p,p
835,e,e,e,e
836,e,e,e,e
837,e,e,e,e
838,e,e,e,e
839,e,e,e,e
840,p,p,p,p
841,e,e,e,p
842,e,e,e,e
843,p,p,p,p
844,p,p,e,p
845,e,e,e,e
846,p,p,p,p
847,e,e,e,e
848,p,p,p,p
849,e,e,e,e
850,p,p,p,p
851,e,e,e,e
852,e,e,e,e
853,e,e,p,e
854,p,p,p,p
855,e,e,e,e
856,e,e,e,e
857,p,p,p,p
858,e,e,e,e
859,p,p,p,p
860,p,p,p,p
861,p,p,p,p
862,e,e,e,e
863,e,e,e,e
864,e,e,e,e
865,e,e,e,e
866,p,p,p,p
867,e,e,e,e
868,p,e,e,e
869,p,p,p,p
870,p,p,p,p
871,p,p,p,p
872,e,e,e,e
873,p,p,p,p
874,e,e,e,e
875,p,p,p,p
876,e,e,p,e
877,e,e,e,e
878,p,p,p,p
879,p,p,p,p
880,e,e,e,e
881,p,p,p,p
882,p,p,p,p
883,p,p,p,p
884,p,p,p,p
885,p,p,p,p
886,e,e,e,e
887,p,p,p,p
888,e,e,e,e
889,p,p,p,p
890,p,p,p,p
891,e,e,p,e
892,e,e,e,e
893,p,p,p,e
894,e,e,e,e
895,e,e,e,e
896,e,e,p,e
897,p,p,e,p
898,e,e,e,p
899,p,p,p,e
900,e,e,e,e
901,e,e,e,e
902,p,p,p,p
903,e,e,e,e
904,p,p,p,p
905,e,e,e,e
906,p,p,p,p
907,p,p,p,e
908,e,e,e,e
909,p,p,p,p
910,e,e,e,e
911,e,e,e,e
912,p,p,p,p
913,p,p,p,p
914,p,p,p,p
915,p,p,p,p
916,p,p,p,p
917,p,p,p,p
918,p,p,p,p
919,e,e,e,e
920,p,p,p,p
921,e,e,e,e
922,p,p,p,p
923,e,e,e,e
924,p,p,p,p
925,p,e,e,p
926,e,e,e,e
927,p,p,p,p
928,p,p,p,p
929,e,e,e,e
930,p,p,e,p
931,e,e,e,e
932,e,e,e,e
933,e,e,e,e
934,p,p,p,p
935,p,p,p,p
936,p,p,e,p
937,p,e,e,e
938,p,p,p,p
939,e,e,e,e
940,p,p,p,p
941,e,e,e,e
942,p,p,p,p
943,p,p,p,p
944,e,e,e,e
945,e,e,e,e
946,e,e,e,e
947,e,e,e,e
948,e,e,e,e
949,e,e,e,e
950,p,p,p,e
951,e,e,e,p
952,p,p,p,p
953,e,e,p,e
954,e,e,e,e
955,e,e,e,p
956,p,p,p,e
957,p,p,p,p
958,p,p,p,p
959,p,p,p,p
960,e,e,e,e
961,e,e,e,e
962,p,e,e,p
963,e,e,e,e
964,p,p,p,e
965,e,p,p,p
966,e,e,e,e
967,p,p,p,p
968,e,e,p,e
969,e,e,e,p
970,p,p,p,p
971,p,p,p,p
972,e,e,e,e
973,p,p,p,p
974,e,e,e,e
975,e,e,e,e
976,e,e,e,e
977,e,e,p,e
978,e,e,e,e
979,e,e,p,e
980,e,e,e,e
981,p,p,p,p
982,p,p,p,p
983,p,p,p,p
984,e,e,e,e
985,p,p,p,p
986,e,e,e,e
987,p,p,p,p
988,e,e,e,e
989,e,e,e,p
990,e,e,e,e
991,e,e,e,e
992,p,p,p,p
993,p,e,e,e
994,e,e,e,e
995,p,p,p,p
996,p,p,p,p
997,p,p,p,p
998,p,p,p,p
999,p,p,p,p
1000,p,p,p,p
1001,e,e,e,e
1002,e,e,e,p
1003,p,p,p,p
1004,p,p,p,p
1005,e,e,e,e
1006,p,p,p,p
1007,e,e,e,e
1008,p,p,p,p
1009,e,e,e,e
1010,p,p,p,p
1011,p,p,p,p
1012,e,e,e,e
1013,p,p,p,p
1014,e,e,e,e
1015,p,e,e,e
1016,p,p,p,p
1017,p,p,p,p
1018,p,p,p,p
1019,p,p,p,p
1020,p,p,p,p
1021,p,e,e,e
1022,p,e,e,e
1023,e,e,p,e
1024,p,p,p,p
1025,e,e,p,e
1026,p,p,p,p
1027,e,e,p,e
1028,e,e,e,e
1029,p,p,p,p
1030,e,e,e,e
1031,e,e,e,e
1032,p,p,p,p
1033,e,e,e,e
1034,e,e,e,e
1035,p,e,e,e
1036,p,p,p,p
1037,p,e,e,e
1038,e,e,e,e
1039,p,p,e,p
1040,p,p,p,p
1041,e,e,e,e
1042,e,e,e,e
1043,e,e,e,p
1044,e,e,p,p
1045,e,e,e,e
1046,e,e,e,e
1047,e,e,e,e
1048,p,e,e,e
1049,e,e,e,e
1050,e,e,e,e
1051,p,p,p,p
1052,e,e,e,e
1053,p,p,p,p
1054,p,p,p,p
1055,e,e,e,e
1056,e,e,e,e
1057,p,p,p,p
1058,e,e,e,e
1059,e,e,e,e
1060,e,e,e,e
1061,e,e,e,e
1062,e,e,p,e
1063,p,p,p,p
1064,p,p,p,p
1065,e,e,e,e
1066,p,p,p,p
1067,e,e,e,e
1068,p,p,p,p
1069,e,e,e,e
1070,p,p,p,p
1071,p,p,p,p
1072,e,e,e,e
1073,e,e,e,e
1074,p,p,p,p
1075,e,e,e,e
1076,e,e,e,e
1077,p,p,p,e
1078,e,e,e,e
1079,p,e,e,e
1080,p,p,p,p
1081,e,e,e,e
1082,e,e,e,e
1083,p,p,p,p
1084,e,e,e,e
1085,e,e,e,e
1086,p,p,p,p
1087,p,p,p,p
1088,e,e,e,e
1089,e,e,e,e
1090,p,e,e,p
1091,p,p,p,p
1092,p,p,e,e
1093,e,e,p,e
1094,p,p,p,p
1095,e,e,e,e
1096,p,p,p,p
1097,e,e,e,p
1098,e,e,e,e
1099,p,p,p,p
1100,p,p,p,p
1101,e,e,e,e
1102,p,p,p,p
1103,e,e,p,e
1104,p,p,p,p
1105,e,e,e,e
1106,e,e,e,e
1107,p,p,p,p
1108,e,e,e,e
1109,p,p,p,p
1110,e,e,e,e
1111,p,p,p,p
1112,p,e,e,p
1113,p,e,p,p
1114,e,e,p,e
1115,p,p,p,e
1116,e,e,p,e
1117,p,p,p,p
1118,e,e,e,e
1119,p,p,p,p
1120,e,e,e,e
1121,p,e,e,e
1122,e,e,e,e
1123,p,p,p,p
1124,p,p,p,p
1125,e,e,e,e
1126,p,p,p,e
1127,p,p,p,p
1128,p,p,p,p
1129,p,p,p,p
1130,e,e,e,e
1131,p,p,p,e
1132,e,e,e,e
1133,e,e,e,e
1134,e,e,e,e
1135,e,e,e,e
1136,e,e,p,e
1137,e,e,p,e
1138,e,e,e,e
1139,e,e,e,e
1140,e,e,e,p
1141,p,p,p,p
1142,p,p,p,p
1143,p,p,p,p
1144,e,e,e,e
1145,e,e,e,e
1146,p,p,p,p
1147,p,p,p,p
1148,p,p,p,p
1149,p,p,p,p
1150,e,e,e,e
1151,e,e,p,e
1152,p,p,p,p
1153,p,p,p,p
1154,e,e,e,e
1155,p,e,e,e
1156,p,p,p,p
1157,p,e,e,e
1158,p,p,p,p
1159,p,p,p,e
1160,p,p,p,p
1161,p,p,p,p
1162,e,e,e,p
1163,p,p,p,p
1164,p,e,e,e
1165,p,p,p,p
1166,e,e,e,e
1167,e,e,e,e
1168,e,e,e,e
1169,e,e,p,e
1170,e,e,e,e
1171,p,p,p,p
1172,p,p,p,p
1173,p,p,p,p
1174,p,p,p,p
1175,p,e,e,e
1176,p,p,e,p
1177,e,e,e,e
1178,e,e,e,e
1179,e,e,e,e
1180,e,e,e,e
1181,p,p,p,p
1182,e,e,e,e
1183,p,p,p,p
1184,p,p,p,p
1185,p,p,p,p
1186,e,e,e,e
1187,p,p,p,p
1188,e,e,e,e
1189,p,p,p,p
1190,e,e,p,e
1191,p,p,p,p
1192,p,p,p,e
1193,e,e,p,e
1194,p,p,p,p
1195,p,p,p,p
1196,p,p,p,p
1197,p,p,p,p
1198,e,e,e,e
1199,p,p,p,p
1200,p,e,e,e
1201,p,p,p,p
1202,e,e,e,e
1203,p,p,p,p
1204,e,e,e,e
1205,p,p,p,p
1206,e,e,e,e
1207,e,e,e,e
1208,e,e,e,e
1209,p,p,p,p
1210,e,e,e,e
1211,p,p,p,p
1212,p,p,p,p
1213,p,p,p,p
1214,e,e,p,e
1215,p,p,p,p
1216,p,p,p,p
1217,p,p,p,p
1218,p,p,p,p
1219,e,e,e,e
1220,e,e,e,e
1221,e,e,e,e
1222,e,e,p,e
1223,p,p,p,p
1224,e,e,p,e
1225,e,e,e,e
1226,e,e,e,e
1227,e,e,e,e
1228,p,p,p,p
1229,p,p,p,p
1230,e,e,p,e
1231,p,p,p,p
1232,e,e,e,e
1233,e,e,e,e
1234,p,p,p,p
1235,p,p,p,p
1236,e,e,e,e
1237,e,e,e,e
1238,p,p,p,p
1239,p,p,p,p
1240,e,e,e,e
1241,e,e,p,e
1242,p,p,p,p
1243,p,p,p,p
1244,e,e,e,e
1245,e,e,p,e
1246,e,e,p,e
1247,e,e,e,e
1248,e,e,p,e
1249,e,e,e,e
1250,e,e,e,e
1251,p,p,p,p
1252,e,p,p,p
1253,p,p,p,p
1254,e,e,e,p
1255,p,p,p,p
1256,p,p,p,p
1257,e,e,e,e
1258,e,e,e,e
1259,p,e,e,e
1260,e,e,p,e
1261,e,e,e,e
1262,e,e,e,e
1263,e,e,e,e
1264,p,p,p,p
1265,e,e,e,e
1266,p,p,p,p
1267,e,e,p,e
1268,e,e,e,e
1269,p,p,p,p
1270,p,p,p,p
1271,e,e,e,p
1272,e,e,e,e
1273,e,e,e,e
1274,e,e,e,e
1275,e,e,p,e
1276,p,p,p,p
1277,e,e,p,e
1278,p,p,p,p
1279,e,e,e,e
1280,p,p,p,p
1281,p,p,p,p
1282,p,p,p,p
1283,p,p,p,p
1284,p,p,p,p
1285,e,e,e,e
1286,e,e,e,e
1287,p,p,p,e
1288,p,p,p,p
1289,p,p,p,p
1290,p,p,p,e
1291,p,p,p,p
1292,e,e,e,e
1293,p,p,p,p
1294,e,e,e,e
1295,e,e,p,e
1296,e,e,e,e
1297,e,e,e,e
1298,e,e,e,e
1299,p,p,p,p
1300,p,p,p,p
1301,p,p,p,p
1302,p,p,p,p
1303,e,e,p,e
1304,e,e,e,e
1305,e,e,e,e
1306,e,e,e,e
1307,p,p,p,p
1308,e,e,e,p
1309,p,p,p,p
1310,p,p,p,p
1311,p,e,e,e
1312,p,p,p,p
1313,e,e,e,e
1314,e,e,e,e
1315,p,p,p,p
1316,e,e,e,e
1317,e,e,e,e
1318,p,p,p,p
1319,e,e,p,p
1320,e,e,e,e
1321,p,p,p,p
1322,e,e,e,e
1323,e,e,e,e
1324,e,e,e,e
1325,e,e,p,e
1326,p,p,p,p
1327,p,p,p,p
1328,e,e,e,e
1329,e,e,e,e
1330,p,p,p,p
1331,p,p,p,p
1332,p,p,p,p
1333,p,p,p,p
1334,p,e,e,e
1335,e,e,p,e
1336,e,e,e,e
1337,e,e,e,e
1338,e,e,e,e
1339,e,e,p,e
1340,e,e,e,e
1341,p,p,p,p
1342,e,e,e,e
1343,p,p,p,p
1344,p,p,p,p
1345,e,e,p,e
1346,e,e,e,e
1347,p,p,p,p
1348,e,e,p,e
1349,e,e,p,e
1350,e,e,e,e
1351,e,e,e,e
1352,p,p,p,p
1353,p,e,e,e
1354,e,e,p,e
1355,e,e,p,e
1356,p,p,p,p
1357,e,e,e,e
1358,p,p,p,p
1359,p,p,p,p
1360,p,p,p,p
