id,train_or_test,length,Title,Author,date,lang,date-bucket,length-log,the,and,of,to,in,that,a,is,it,be
10,train,7927,"A new tragical comedy of Apius and Virginia wherein is lively expressed a rare example of the virtue of chastity, by Virginias constancy, in wishing rather to be slain at her own fathers hands, then to be deflowered of the wicked judge Apius. By R.B. The players names. ...; Apius and Virginia","R. B.; Bower, Richard, d. 1561, attributed name.",1575,English,1550-1599,8,0.023464110003784535,0.030023968714519993,0.016904251293049073,0.021697994197048064,0.013498170808628737,0.011605903872839662,0.017030402422101677,0.009082881291787562,0.006686009839788066,0.011227450485681847
11,train,22792,"Certain Godly exercises [sic] meditacions and prayers very necessary and profitable for all persons and for all times, set forth by certain godly learned men, to be used daily as you shall be godly disposed, and shall feel need thereunto. And also the letany daily used in churches annexed to the end hereof.",,1565,English,1550-1599,10,0.033696033696033696,0.05835380835380835,0.0322042822042822,0.029835029835029832,0.020094770094770092,0.019919269919269917,0.00565988065988066,0.005308880308880309,0.004782379782379782,0.012021762021762021
12,train,36333,"The difference between the ancient physic, first taught by the godly forefathers, consisting in unity peace and concord: and the latter physic proceeding from idolaters, ethnickes, and heathen: as Gallen, and such other consisting in dualitie, discord, and contrariety And wherein the natural philosophy of Aristotle does differ from the truth of Gods word, and is injurious to Christianity and sound doctrine. By R.B. Esquire.","Bostocke, Richard.; Bostocke, Robert, attributed name.",1585,English,1550-1599,10,0.06294553161038174,0.06162441857264746,0.046073817190983406,0.023229570913494618,0.023559849172928193,0.018770814411141385,0.005009220268075854,0.015192799933944347,0.010513857925302067,0.01475242892136625
13,train,1723,"The copy of a letter, sent by and English gentleman out of France to a friend of his in England, concerning the great victory which the French king obtained against the duke de Maine, and the Romish rebels in his kingdom, upon the fourth day of March last past. 1589. Wherein is particularly expressed the names of sundry noblemen, with the number of horsemen & footmen which were drowned, slain, hurt, and taken prisoners in the said battle.","T. B., English gentleman out of France.",1590,English,1550-1599,7,0.09924550203134068,0.05049332559489263,0.04526987811955891,0.03250145095763204,0.01567034242600116,0.011607661056297156,0.0110272780034823,0.004062681369704005,0.0046430644225188625,0.004062681369704005
14,test,14271,"Historia de done famous. Or The Roman iubile which happened in the year 855. Disputed lately, that there was a woman pope named Ione the eight, against all the Jesuits, by a German, but especially against Rob. Bellarmine father of all controversies, his treatise De Romano pontifico. lib. 3. cap. 24. Newly translated into English","German.; T. B., fl. 1599.; Witekind, Hermann, d. 1603, attributed name.",1599,English,1550-1599,9,0.05297456380071474,0.04568705766939948,0.047859295073926146,0.02081143577885222,0.025646415808282533,0.015836311400742768,0.01779833228225072,0.009109382664144069,0.011071403545652022,0.007988227874710953
15,test,7727,"Obedience and submission A sermon preached at St. Sauiours-Church in South-warke, at a visitation, on Tuesday, the eigth [sic] day of December: anno Dom. 1635. By John Fealtly.","Featley, John, 1605?-1666.",1636,English,1630-1641,8,0.04917820628963376,0.02821276045036884,0.031707001423579656,0.02316552348906432,0.02329493982140546,0.01410638022518442,0.011776886243043874,0.015141710883913551,0.012035718907726155,0.009188559596221044
16,test,16874,"The whole doctrine of the Sacraments plainly and fully set down and declared out of the word of God. Written by Master Dudley Fenner, and now published for the use of the Church of God.","Fenner, Dudley, 1558?-1587.",1588,English,1550-1599,9,0.06708545691596539,0.043854450634111655,0.041009837620007115,0.029927699419224844,0.025779305440322392,0.021334597605784048,0.007704160246533128,0.024475524475524476,0.014045276757141165,0.014341590612777054
17,test,4931,"A relation of a new league made by the Emperor of Germany, with other princes, potentates and states Catholic, against the enemies of the Roman Catholick-Religion, with the names of those princes As also, the true numbers, both of horse and foot, which every one of them offers to set forward so great a design. Unto which is added the copy of a letter sent by the King of Spain to Pope Vrbine the 8. printed according the Spanish copy set forth at Madrill. Unto all which is likewise added: The discovery of a New Spanish Armado, threatening with fire and sword to invade England.",,1626,English,1600-1629,8,0.05597241938754817,0.044615696613263034,0.04157371729872237,0.03265057797606977,0.017846278645305212,0.009125937943621983,0.013790306225917665,0.009734333806530117,0.00932873656459136,0.008923139322652606
18,test,4961,"Terra australis incognita, or A new southern discovery, containing a fifth part of the world. Lately found out by Ferdinand de Quir, a Spanish captain. Never before published. Translated by W.B.; Relacion de un memorial que ha presentado Pedro Fernandez de Quir. English","Queiros, Pedro Fernandes de, d. 1615.; W. B., fl. 1613-1617.",1617,English,1600-1629,8,0.04918363233219109,0.059463817778673655,0.04374118121346503,0.02136665994759121,0.016730497883491232,0.020761943156621648,0.013102197137673856,0.01652892561983471,0.006450312437008668,0.009675468655513001
19,train,144113,"A work of Ioannes Ferrarius Montanus, touching the good ordering of a common weal wherein as well magistrates, as private persons, be put in remembrance of their duties, not as the philosophers in their vain tradicions have devised, but according to the godly institutions and sound doctrine of christianity. Englished by william Bauande.; De republica been instituenda, paraenesis. English","Ferrarius, Johannes, 1485 or 6-1558.; Bavand, William.",1559,English,1550-1599,11,0.0497387466779541,0.03710282902999729,0.03645750209904727,0.03259941851186222,0.017215657157924683,0.021580287690909215,0.014342911465308472,0.012913477618257894,0.010366864890745457,0.020345145823069396
20,test,18304,"A woman is a vveather-cocke A new comedy, as it was acted before the King in White Hall. And diverse times privately at the White-Friers, by the Children of her Majesty's Revels. Written by Not: Field.","Field, Nathan, 1587-1620?",1612,English,1600-1629,9,0.022180944055944056,0.02480332167832168,0.011527534965034966,0.02114291958041958,0.013002622377622378,0.01027097902097902,0.020432692307692308,0.014259178321678322,0.011090472027972028,0.007484702797202797
21,test,11298,"Relation of the expongnable attempt and conquest of the yland of Tercera, and all the ylands thereto adjoining: don by Don Albaro de Bacan, Marquis of Santa crnz [sic], the chief comme[n]dador of Leon, and captain general of his Majesty. And of all the enemies that were in the said ylande, and of the bulwarks, artilerie, and munitions of the city of Angra, and towns and vilages thereto belonging: and of the dwellers therein, and of all the punishment that was done upon them. Done in An. 1583","Bazan, Alvaro de, marquis de Santa Cruz, 1526-1588.",1583,English,1550-1599,9,0.06664896441848114,0.06142680120375287,0.06496725084085678,0.01327668613913967,0.02734997344662772,0.01575500088511241,0.012126040007080898,0.002920870950610727,0.002655337227827934,0.004602584528235086
22,train,50820,"Of the Russe common wealth. Or, Manner of government of the Russe emperor, (commonly called the Emperor of Moskouia) with the manners, and fashions of the people of that country.","Fletcher, Giles, 1549?-1611.",1591,English,1550-1599,10,0.07670208579299488,0.03813459268004722,0.04547422274695002,0.026702085792994882,0.015505706414797324,0.016351829988193626,0.013282172373081463,0.013301849665486028,0.007674144037780401,0.005706414797323888
23,train,18366,The ladies trial Acted by both their Majesty's Servants at the private house in Drury Lane.,"Ford, John, 1586-ca. 1640.",1639,English,1630-1641,9,0.028912120222149625,0.02319503430251552,0.026135249918327344,0.019383643689426116,0.01519111401502777,0.005880431231623653,0.02357617336382446,0.011434171839268214,0.010236306218011543,0.005662637482304258
24,test,78179,"The famous history of Montelyon, Knight of the Oracle, and son to the renowned Persicles King of Assyria Showing his strange birth, unfortunate love, perilous adventures in arms, and how he came to the knowledge of his parents. Interlaced, with much variety of pleasant and delightful discourse.","Ford, Emanuel.",1640,English,1630-1641,11,0.03967817444582304,0.0280382199823482,0.026899806853502857,0.037516468616892,0.014377262436204095,0.020465854001714013,0.010373629747118791,0.0037222271965617363,0.005947888819248136,0.007572365980634185
25,test,48579,"A learned commendation of the politic laws of England vvherin by most pitthy reasons & evident demonstrations they are plainelye proved far to excel as well the civil laws of the Empiere, as also all other laws of the world, with a large discourse of the difference between the. ii. gouernements of kingdoms: whereof the one is only regal, and the other consists of regal and polityque administration conjoined. written in latin above an hundred years past, by the learned and right honorable master Fortescue knight ... And newly translated into English by Robert Mulcaster.; De laudibus legum Angliae. English and Latin","Fortescue, John, Sir, 1394?-1476?; Mulcaster, Robert. 16th Century",1567,English,1550-1599,10,0.04059367216286873,0.021923053171123325,0.03184503592087116,0.01527408962720517,0.02258177401757961,0.010436608411041808,0.009263261903291546,0.009119166718129233,0.005599127194878446,0.009716132485230244
26,train,88594,"De laudibus legum Angliae written by Sir John Fortescue L. Chapter Justice, and after L. Chancellor to K. Henry VI. Hereto are ioind the two Sums of Sir Ralph de Hengham L. Chapter Justice to K. Edward I. commonly called Hengham magna, and Hengham parua. Never before published. Notes both on Fortescue and Hengham are added; De laudibus legum Angliae. English and Latin","Fortescue, John, Sir, 1394?-1476?; Mulcaster, Robert, 16th cent.; Seldom, John, 1584-1654.; Hengham, Ralph de, d. 1311. Summae.",1616,,1600-1629,11,0.035103957378603515,0.03318509154118789,0.02519357970065693,0.011151996749215522,0.028150890579497483,0.009165406235185226,0.008781633067702101,0.008059236517145631,0.0050793507461001875,0.00650156895500824
27,train,30531,"A declaration concerning the needfulnesse of peace to be made in France and the means for the making of the same: exhibited to the most Christian king, Henry the second of that name, King of France and Polande, upon two edictes, put forth by his Majesty, the one the tenth of September, the other the thirtenth of October. Anno. 1574. Translated out of French by G. H. Esquire.; Remonstrance au roy ... sur le faict des deux edicts ... touchant la necessite de paix & moyens de la fair. English","Gentillet, Innocent, ca. 1535-ca. 1595.; Heart, George.",1575,English,1550-1599,10,0.058759948904392255,0.04094199338377387,0.043889816907405586,0.034882578362975335,0.01807998427827454,0.019324620877141267,0.012544626772788312,0.005830139857849399,0.00864694900265304,0.012544626772788312
28,train,177161,The history of France the four first books.; Histoire de France. Book 1-4. English,"La Popeliniere, Lancelot-Voisin, sieur de, 1541-1608.; Hoby, Edward, Sir, 1560-1617.",1595,English,1550-1599,12,0.08125377481499879,0.040025739299281445,0.050699646084634876,0.03500206027285915,0.015957236637860476,0.015595983314612132,0.011006937192723004,0.0013772782948843142,0.006671897313742866,0.006547716483876248
29,test,13114,"A Christian confession of the late most noble and mighty prince, Friderich of that name the third, Count Palatine by [ye] Rhein, one of the electours of the holy Empire, and Duke in Bauire: wherein constantly and meekelie he departed out of this world the 26. of October in the year of our Lord God 1576. Taken word for word out of his last will and testament. Whereunto is added the Lantgraue his answer to the French King; Proclamations. 1620-07-01","Friedrich III, Elector Palatine, 1515-1576.; Johann Casimir, Pfalzgraf bei Rhein, 1543-1592.; Wilhelm IV, Landgrave of Hesse, 1532-1592.",1577,English,1550-1599,9,0.05299679731584567,0.07373798993442124,0.04186365716028672,0.02577398200396523,0.020817447003202684,0.016165929540948604,0.006481622693304865,0.008464236693609883,0.0062528595394235175,0.010065578770779321
30,train,51022,"A brief confutation, of a popish discourse: lately set forth, and presumptuously dedicated to the Queens most excellent Majesty: by John Howlet, or some other bird of the night, under that name Containing certain reasons, why papists refuse to come to church, which reasons are here inserted and set down at large, with their several answers. By D. Fulke, Master of Penbroke Hall, in Cambridge. Seen and allowed.","Fulke, William, 1538-1589.; Parsons, Robert, 1546-1610. Brief discourse containing certain reasons why Catholics refuse to go to church.",1583,English,1550-1599,10,0.058249382619262276,0.03294657206695151,0.043569440633452236,0.03128062404452981,0.020540159147034612,0.020461761593038294,0.011583238602955587,0.015463917525773195,0.011446042883462034,0.012210419034926109
31,train,27881,"A goodly gallerye with a most pleasant prospect, into the garden of natural contemplation, to behold the natural causes of all kind of meteors, as well fyery and ayery, as watery and earthly, of which sort be blasing sterres, shooting stars, flames in the air &c. tho[n]der, lightning, earthquakes, &c. rain dew, snow, clouds, springes &c. stones, metalles, earthes &c. to the glory of God, and the profit of his creaturs.","Fulke, William, 1538-1589.",1563,English,1550-1599,10,0.06613823033607115,0.035041784727950935,0.045694200351493845,0.01796922635486532,0.020910297335102756,0.01778989275850938,0.014812955059000753,0.026110971629425054,0.021484164843441768,0.01423908755066174
32,train,67630,"Ioannis Palsgraui Londoniensis, ecphrasis Anglica in comoediam Acolasti The comedye of Acolastus translated into our english tongue, after such manner as chylderne are taught in the grammar schole, first word for word, as the latyne lies, and afterward according to the sense and meaning of the latin sentences ... with admonitions set forth in the margyn ... and before the second scene of the first act, is a brefe introductory to have some general knowledge of the duyers sorts of meters used of our auctour in this comedy. And before Acolastus balade is showed of what kinds of meters his balade is made of. And before the syxte scene of the fourth act, is a monition of the rhetorycall composytion used in that scene ... Interpreted by John Palsgraue.; Acolastus. English and Latin","Gnaphaeus, Gulielmus, 1493-1568.; Palsgrave, John, d. 1554.",1540,English,1470-1549,11,0.026970279461777318,0.0132189856572527,0.020124205234363448,0.024530533786781016,0.01320419931982848,0.01379565281679728,0.01286411355907142,0.009522401301197693,0.00680171521514121,0.011355907141800976
33,train,3900,"A godly exhortation, and fruitful admonition to virtuous parents and modest matrons Describing the holy use, and blessed institution of that most honorable state of matrimony, and the increase of godly and happy children, in training them up in godly education, and household discipline. R.G.","Greenham, Richard.",1584,English,1550-1599,8,0.04897435897435897,0.038205128205128204,0.03948717948717949,0.029487179487179487,0.018974358974358976,0.021538461538461538,0.014615384615384615,0.00923076923076923,0.007948717948717949,0.014871794871794871
34,train,1909,Salutem in Christo,"R. G., fl. 1571.; Grafton, Richard, d. 1572?, attributed name.; Burghley, William Cecil, Baron, 1520-1598, attributed name.",1571,English,1550-1599,7,0.06809848088004192,0.045049764274489264,0.044002095337873234,0.040335254059717135,0.018334206390780514,0.024096385542168676,0.006286013619696176,0.014143530644316397,0.01676270298585647,0.015191199580932426
35,train,34692,"A book of angling, or fishing Wherein is showed, by conference with scriptures, the agreement between the fishermen, fishes, fishing of both natures temporal, and spirtuall. By Samuel Gardener Doctor of Divinity.","Gardener, Samuel, b. 1563 or 4.",1606,English,1600-1629,10,0.06762365963334487,0.03747261616511011,0.04182520465813444,0.022483569699066067,0.0183039317421884,0.014181943964026288,0.013864867981090741,0.011414735385679695,0.010261731811368616,0.008589876628617548
36,test,118736,"A hundredth sundry flowers bound up in one small poesy Gathered partly (by translation) in the fine outlandish gardins of Euripides, Ovid, Petrarke, Ariosto, and others: and partly by invention, out of our own fruitful orchardes in England: yelding sundry svveete savors of tragical, comical, and moral discourses ...","Gascoigne, George, 1542?-1577.",1573,English,1550-1599,11,0.03478304810672416,0.030993127610834118,0.021973116830615817,0.02897183667969276,0.016439832906616356,0.015547096078695592,0.011251852850020212,0.006131249157795445,0.006939765530251987,0.006990297803530521
37,test,7023,"The spoil of Antwerpe. Faithfully reported, by a true Englishman, who was present at the same. Nouem. 1576. Seen and allowed","Gascoigne, George, 1542?-1577.",1576,English,1550-1599,8,0.06763491385447815,0.050975366652427745,0.03602449095827994,0.02648440837249039,0.017229104371351275,0.012815036309269544,0.012957425601594762,0.0022782286772034745,0.00598035027765912,0.005410793108358252
38,train,15679,"Marriage duties briefly couched together out of Colossians, 3. 18, 19. By Thomas Gataker Bachelar of Divinity and pastor of Rotherhith.","Gataker, Thomas, 1574-1654.",1620,English,1600-1629,9,0.04655909177881243,0.042987435423177504,0.02697876140059953,0.033165380445181455,0.02136615855603036,0.019899228267108875,0.014159066266981313,0.016391351489253143,0.011097646533579949,0.0143504050003189
39,train,15679,"Marriage duties briefly couched together out of Colossians, 3. 18, 19. By Thomas Gataker Bachelar of Divinity and pastor of Rotherhith.","Gataker, Thomas, 1574-1654.",1620,English,1600-1629,9,0.04655909177881243,0.042987435423177504,0.02697876140059953,0.033165380445181455,0.02136615855603036,0.019899228267108875,0.014159066266981313,0.016391351489253143,0.011097646533579949,0.0143504050003189
40,test,6565,"Rodomontados. Or, Brauadoes and bragardismes. Collected out of the commentaries of the most dreadful, terrible, and invincible captain; Mattamores, Crocodillo, Raiabroquelos; Rodomuntadas castellanas. English","Gaultier, Jacques.",1610,English,1600-1629,8,0.04523990860624524,0.04386900228484387,0.035034272658035034,0.0265041888804265,0.01904036557501904,0.012947448591012947,0.01325209444021325,0.00594059405940594,0.008377760853008377,0.006092916984006092
41,test,3915,"This book does create all of the best waters artyfycialles and the virtues and properties of the same, much profitable for the poor sick, set forth, by sir Roger Becon Freere.","Bacon, Roger, 1214?-1294.",1550,English,1550-1599,8,0.14380587484035762,0.09910600255427843,0.07637292464878673,0.012515964240102172,0.011749680715197958,0.005108556832694764,0.006896551724137932,0.018135376756066413,0.03346104725415071,0.005108556832694764
42,train,18569,"The praise of a good name The reproach of an ill name. Wherein every one may see the fame that follows laudable actions, and the infamy that comes by the contrary. With certain pithy apothegues, very profitable for this age, by C.G.","Gibbon, Charles, fl. 1589-1604.",1594,English,1550-1599,9,0.04324411653831655,0.020895040120631158,0.028649900371587052,0.02671118530884808,0.01615595885615811,0.0162636652485325,0.02514944261941946,0.01583283967903495,0.011416877591685066,0.015509720501911788
43,test,17289,"Architectonice consolationis: or, The art of building comfort occasioned by the death of that religious gentlewoman, Jane Gilbert; to be studied: and with all a platform of comfort to be raised up by her husband William Gilbert Doctor in Divinity.","Gilbert, William, 1597?-1640.",1640,English,1630-1641,9,0.05945977210943375,0.02747411649025392,0.04523107177974435,0.030886690959569668,0.020822488287350338,0.014460061310659958,0.014460061310659958,0.019376482156284344,0.01046908438891781,0.008676036786395974
44,train,14874,A mastif vvhelp and other ruff-island-lik currs fetched from amongst the Antipedes Which bite and bark at the fantastical humorists and abusers of the time.,"Goddard, William, fl. 1615.",1616,English,1600-1629,9,0.018286943660077985,0.017883555196988032,0.010286405808793867,0.021177894312222667,0.010488100040338845,0.012101653892698667,0.020505580207072743,0.014118596208148445,0.01243781094527363,0.007798843619739142
45,train,21966,"The arc of noah for the Londoners that remain in the city to enter in, with their families, to be preserved from the deluge of the plague. Item, an exercise for the Londoners that are departed out of the city into the coutnrey, to spend their time till they return. Whereunto is annexed an epistle sent out of the country, to the afflicted city of London. Made and written by James Godskall the younger, preacher of the word.","Godskall, James.",1604,English,1600-1629,9,0.07661841027041792,0.033460803059273424,0.042201584266593824,0.028453063825912773,0.018164435946462717,0.014385869070381498,0.010834926704907585,0.01452244377674588,0.010106528270964218,0.00819448238186288
46,train,5925,"A brief discourse of the late murder of master George Saunders, a worshipful citizen of London and of the apprehension, arreignement, and execution of the principal and accessaries of the same.","Golding, Arthur, 1536-1606.",1573,English,1550-1599,8,0.06143459915611814,0.04725738396624472,0.04962025316455696,0.033924050632911394,0.015189873417721518,0.015358649789029535,0.008438818565400843,0.005063291139240506,0.004556962025316456,0.006751054852320675
47,train,16165,"Spiritual marriage: or, The union between Christ and his Church As it was delivered in a sermon at Westminster, the first of January. Anno Dom. 1626. By James Baillie, Master of Arts.","Baillie, James, Master of Arts.",1627,English,1600-1629,9,0.0642128054438602,0.046891432106402724,0.044045777915248996,0.021218682338385402,0.025301577482214663,0.015218063717909064,0.01602227033714816,0.01756882152799258,0.010083513764305599,0.010392824002474483
48,test,16165,"Spiritual marriage: or, The union between Christ and his Church As it was delivered in a sermon at Westminster, the first of January. Anno Dom. 1626. By James Baillie, Master of Arts.","Baillie, James, Master of Arts.",1627,English,1600-1629,9,0.0642128054438602,0.046891432106402724,0.044045777915248996,0.021218682338385402,0.025301577482214663,0.015218063717909064,0.01602227033714816,0.01756882152799258,0.010083513764305599,0.010392824002474483
49,test,416,"The Marquess of Huntley his reply to certain noblemen, gentlemen, and ministers, covenanters of Scotland sent from their associates, to signify unto him, that it behoved him either to assist their designs, or be carried to prison in the Castle of Edinburgh: the 20. of April, 1639. Now published, because of a false copy thereof lately printed without authority, or his own consent.","Huntly, George Gordon, Marquess of, d. 1649.",1640,English,1630-1641,6,0.028846153846153848,0.021634615384615384,0.03605769230769231,0.03365384615384616,0.02403846153846154,0.019230769230769232,0.01201923076923077,0.009615384615384616,0.007211538461538462,0.01201923076923077
50,test,11009,"England and Scotlands happiness in being reduced to unity of religion, under our invincible monarke King James. Written by I: Gordon.; Panegyrique of congratulation for the concord of the realms of Great Britain in unity of religion, and under one king","Gordon, John, 1544-1619.; Grimeston, Edward.",1604,English,1600-1629,9,0.08765555454628032,0.04078481242619675,0.054591697701880285,0.023253701516940686,0.027613770551367066,0.01825778908166046,0.0104459987283132,0.010718503042964848,0.005722590607684622,0.005450086293032974
51,test,35905,"The ephemerides of Phialo divided into three books. The first, a method which he ought to follow that desires to rebuke his friend, when he sees him swerve: without kindling his choler, or hurting himself. The second, a canuazado to courtiers in four points. The third, the defense of a curtezan overthrown. And a short apology of the School of abuse, against poets, pipers, players, [et] their excusers. By Steph. Gosson, stud. Oxon.","Gosson, Stephen, 1554-1624.",1579,English,1550-1599,10,0.04704080211669684,0.023952095808383235,0.028826068792647264,0.030636401615373905,0.021334076033978557,0.018771758807965465,0.020637794179083693,0.010360674000835539,0.008076869516780393,0.009469433226570116
52,test,50447,"The well spryng of sciences which teaches the perfect work and practice of arithmeticke, both in whole nombers and fractions, with such easy and compendious instruction into the said art, as has not heretofore been by any set out nor labored. Beautified with most necessary rules and questions, not only profitable for merchants, but also for all artificers, as in the table does partly appear: set forth by Humfrey Baker citezeine of Lo[n]don.","Baker, Humfrey, fl. 1557-1587.",1568,English,1550-1599,10,0.083077289036018,0.040616885047673794,0.037128075009415826,0.012547822467143735,0.015243721133070352,0.014093999643189883,0.005451265684778084,0.021051796935397545,0.004579063175213591,0.010525898467698773
53,test,1349,The .xxv. orders of fools.,"Granger, Timothy.",1570,English,1550-1599,7,0.048183839881393624,0.0385470719051149,0.018532246108228317,0.02742772424017791,0.013343217197924388,0.017790956263899184,0.040770941438102296,0.025945144551519642,0.0014825796886582653,0.006671608598962194
54,test,17774,"The castle of memory wherein is contained the restoring, augmenting, and conseruing of the memory and remembrance, with the safest remedies, and best precepts thereunto in any wise apperteyning: made by Gulielmus Gratarolus Bergomatis Doctor of Arts and Phisike. Englished by Willyam Fulvvod. The contents whereof appear in the page next folovvynge.; De memoria reparanda. English","Gratarolo, Guglielmo, 1516?-1568?; Fulwood, William.",1562,English,1550-1599,9,0.062225722966130305,0.042646562394508834,0.0435467536851581,0.022392258354900416,0.018847755147968943,0.013896703049397998,0.022279734443569257,0.015415775852368628,0.015190728029706313,0.020479351862270734
55,train,12594,"A notable discovery of coosenage Now daily practiced by sundry lewd persons, called connie-catchers, and crosse-byters. Plainly laying open those pernicious sleights that has brought many ignorant men to confusion. ... With a delightful discourse of the coosenage of colliers. By R. Green, Master of Arts.","Green, Robert, 1558?-1592.",1592,English,1550-1599,9,0.05740828966174369,0.041527711608702556,0.02485310465300937,0.0252501191043354,0.016674606955693186,0.016118786723836747,0.021200571700809908,0.008257900587581388,0.005558202318564396,0.00730506590439892
56,train,37209,"Planetomachia: or the first part of the general opposition of the seven planets wherein is astronomically described their essence, nature, and influence: diversely discovering in their pleasant and tragical histories, the inward affections of the minds ... Containing also a brief apology of the sacred and mystical science of astronomy: by Robert Green, Master of Arts and student in physic. 1585.","Green, Robert, 1558?-1592.",1585,English,1550-1599,10,0.040151576231556886,0.03324464511274154,0.024617700018812656,0.0313096293907388,0.017361391061302373,0.013141981778601953,0.016582009728829047,0.005186917143701793,0.00529441801714639,0.006046924131258567
