id,actual,lr,knn,lda,svm_w,svm,nb,nn,rf
72,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
73,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
74,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
75,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
76,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
77,LOW,LOW,LOW,MED,LOW,LOW,HIGH,LOW,LOW
78,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
79,MED,MED,MED,MED,MED,MED,MED,MED,MED
80,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
81,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
82,MED,MED,MED,MED,MED,MED,LOW,MED,MED
83,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
85,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
86,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
87,MED,MED,MED,MED,MED,MED,LOW,MED,MED
88,MED,MED,MED,MED,MED,MED,LOW,MED,MED
89,MED,MED,MED,MED,MED,MED,MED,MED,MED
90,MED,MED,MED,MED,MED,MED,MED,MED,MED
91,MED,MED,MED,MED,MED,MED,LOW,MED,MED
92,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
93,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
94,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
95,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
96,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
97,HIGH,MED,MED,HIGH,HIGH,MED,HIGH,MED,HIGH
100,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
101,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
102,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
103,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
104,MED,MED,MED,MED,MED,MED,LOW,MED,MED
105,LOW,LOW,MED,LOW,LOW,LOW,HIGH,LOW,LOW
106,MED,MED,MED,MED,MED,MED,LOW,MED,MED
107,MED,MED,MED,MED,MED,MED,LOW,MED,MED
108,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
109,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
110,MED,MED,MED,MED,MED,MED,LOW,MED,MED
111,MED,MED,MED,MED,MED,MED,MED,MED,MED
112,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
113,LOW,LOW,LOW,LOW,LOW,LOW,MED,LOW,LOW
114,MED,MED,MED,MED,MED,MED,LOW,MED,MED
115,MED,MED,MED,MED,MED,MED,LOW,MED,MED
116,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
117,MED,MED,MED,MED,MED,MED,LOW,MED,MED
118,MED,MED,MED,MED,MED,MED,LOW,MED,MED
119,HIGH,MED,MED,MED,MED,MED,MED,MED,MED
120,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
121,MED,MED,MED,MED,MED,MED,LOW,MED,MED
122,LOW,LOW,LOW,MED,LOW,LOW,LOW,LOW,LOW
123,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
124,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
125,MED,MED,MED,MED,MED,MED,MED,MED,MED
126,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
127,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
128,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
129,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
130,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
131,MED,MED,MED,MED,MED,MED,MED,MED,MED
132,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
133,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
134,MED,MED,MED,MED,MED,MED,LOW,MED,MED
135,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
136,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
137,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
138,MED,MED,MED,MED,MED,MED,LOW,MED,MED
139,MED,MED,MED,MED,MED,MED,MED,MED,MED
140,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
141,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
142,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
143,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
144,MED,MED,MED,MED,MED,MED,LOW,MED,MED
145,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
146,MED,MED,MED,MED,MED,MED,LOW,MED,MED
147,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
148,MED,MED,MED,MED,MED,MED,MED,MED,MED
149,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
150,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
151,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
152,MED,MED,MED,MED,MED,MED,LOW,MED,MED
153,MED,MED,MED,MED,MED,MED,LOW,MED,MED
154,MED,MED,MED,MED,MED,MED,MED,MED,MED
155,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
156,MED,MED,MED,MED,MED,MED,MED,MED,MED
157,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
158,MED,MED,MED,MED,MED,MED,MED,MED,MED
159,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
160,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
161,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
162,MED,MED,MED,MED,MED,MED,MED,MED,MED
163,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
164,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
165,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
166,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
167,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
168,LOW,LOW,LOW,MED,LOW,LOW,HIGH,LOW,LOW
169,MED,MED,MED,MED,LOW,MED,HIGH,MED,MED
170,MED,MED,MED,MED,MED,MED,LOW,MED,MED
171,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
172,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
173,MED,MED,MED,MED,MED,MED,MED,MED,MED
174,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
175,LOW,LOW,LOW,MED,LOW,LOW,LOW,LOW,LOW
176,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
178,MED,MED,MED,MED,MED,MED,LOW,MED,MED
179,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
180,MED,MED,MED,MED,MED,MED,MED,MED,MED
181,MED,MED,MED,MED,MED,MED,MED,MED,MED
182,MED,MED,MED,MED,MED,MED,LOW,MED,MED
183,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
184,MED,MED,MED,MED,MED,MED,MED,MED,MED
185,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
186,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
187,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
188,MED,MED,MED,MED,MED,MED,LOW,MED,MED
189,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
190,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
191,MED,MED,MED,MED,MED,MED,LOW,MED,MED
192,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
193,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
194,MED,MED,MED,MED,MED,MED,LOW,MED,MED
195,MED,MED,MED,MED,MED,MED,LOW,MED,MED
196,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
197,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
198,MED,MED,MED,MED,MED,MED,LOW,MED,MED
200,MED,MED,LOW,MED,MED,MED,LOW,MED,MED
201,MED,MED,MED,MED,MED,MED,MED,MED,MED
202,MED,MED,MED,MED,MED,MED,LOW,MED,MED
203,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
205,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
207,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
208,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
209,MED,MED,MED,MED,MED,MED,LOW,MED,MED
210,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
211,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
212,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
213,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
214,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
215,MED,MED,MED,MED,MED,MED,MED,MED,MED
216,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
217,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
218,MED,MED,MED,MED,MED,MED,LOW,MED,MED
219,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
220,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
221,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
222,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
223,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
224,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
225,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
226,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
227,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
228,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
229,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
230,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
231,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
232,MED,MED,MED,MED,MED,MED,MED,MED,MED
233,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
234,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
235,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
236,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
237,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
238,HIGH,MED,MED,MED,MED,MED,MED,MED,MED
239,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
240,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
241,MED,MED,MED,MED,MED,MED,LOW,MED,MED
243,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
244,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
245,LOW,LOW,LOW,MED,LOW,LOW,HIGH,LOW,LOW
246,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
247,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
249,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
250,MED,MED,MED,MED,MED,MED,LOW,MED,MED
251,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
252,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
253,MED,MED,MED,MED,MED,MED,MED,MED,MED
254,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
255,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
256,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
257,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
258,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
259,LOW,LOW,LOW,MED,LOW,LOW,HIGH,LOW,LOW
261,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
262,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
263,LOW,LOW,LOW,LOW,LOW,LOW,MED,LOW,LOW
264,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
265,MED,MED,MED,MED,MED,MED,MED,MED,MED
266,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
267,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
268,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
269,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
270,HIGH,MED,MED,HIGH,HIGH,MED,HIGH,MED,MED
271,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
272,MED,MED,MED,MED,MED,MED,MED,MED,MED
273,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
274,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
275,MED,MED,MED,MED,MED,MED,MED,MED,MED
276,LOW,LOW,LOW,MED,LOW,LOW,LOW,LOW,LOW
277,MED,MED,MED,MED,MED,MED,MED,MED,MED
278,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
280,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
281,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
282,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
283,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
284,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
285,MED,MED,MED,MED,MED,MED,LOW,MED,MED
286,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
287,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
288,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
289,MED,MED,MED,MED,MED,MED,MED,MED,MED
290,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
291,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
292,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
293,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
294,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
295,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
296,HIGH,MED,MED,MED,HIGH,MED,MED,MED,HIGH
297,MED,MED,MED,MED,MED,MED,MED,MED,MED
298,MED,MED,MED,MED,MED,MED,LOW,MED,MED
299,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
300,MED,MED,MED,MED,MED,MED,LOW,MED,MED
301,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
302,MED,MED,MED,MED,MED,MED,LOW,MED,MED
303,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
304,MED,MED,MED,MED,MED,MED,LOW,MED,MED
305,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
306,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
307,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
308,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,MED
309,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
310,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
311,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
312,MED,MED,MED,MED,MED,MED,LOW,MED,MED
313,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
314,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
315,MED,MED,MED,MED,MED,MED,MED,MED,MED
316,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
317,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
318,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
319,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
320,MED,MED,MED,MED,MED,MED,MED,MED,MED
321,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
322,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
323,MED,MED,MED,MED,MED,MED,MED,MED,MED
324,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
325,MED,MED,LOW,MED,MED,MED,HIGH,MED,MED
326,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
327,MED,MED,MED,MED,MED,MED,MED,MED,MED
328,MED,MED,MED,MED,MED,MED,MED,MED,MED
329,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
330,MED,MED,MED,MED,MED,MED,MED,MED,MED
331,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
332,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
333,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
334,MED,MED,MED,MED,MED,MED,MED,MED,MED
335,MED,MED,MED,MED,MED,MED,LOW,MED,MED
336,MED,MED,MED,MED,MED,MED,LOW,MED,MED
337,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
338,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
339,HIGH,MED,MED,HIGH,HIGH,MED,HIGH,MED,MED
340,HIGH,MED,MED,HIGH,HIGH,MED,HIGH,MED,MED
341,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
342,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
343,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
344,LOW,LOW,MED,MED,LOW,LOW,HIGH,LOW,LOW
345,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
346,MED,MED,MED,MED,MED,MED,LOW,MED,MED
347,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
348,MED,MED,MED,MED,MED,MED,MED,MED,MED
349,HIGH,MED,MED,MED,MED,MED,MED,MED,MED
350,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
351,LOW,LOW,MED,MED,LOW,LOW,LOW,LOW,LOW
352,MED,MED,MED,MED,MED,MED,LOW,MED,MED
353,MED,MED,MED,MED,MED,MED,MED,MED,MED
354,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
355,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
356,MED,MED,MED,MED,MED,MED,LOW,MED,MED
357,MED,MED,MED,MED,MED,MED,LOW,MED,MED
358,MED,MED,MED,MED,MED,MED,MED,MED,MED
359,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
360,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
361,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
362,MED,MED,MED,MED,MED,MED,MED,MED,MED
363,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
364,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
365,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
366,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
368,MED,MED,MED,MED,MED,MED,LOW,MED,MED
369,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
370,MED,MED,MED,MED,MED,MED,MED,MED,MED
371,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
372,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
373,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
374,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
375,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
376,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
377,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
378,LOW,LOW,MED,MED,LOW,LOW,LOW,LOW,LOW
379,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
380,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
381,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
382,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
383,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
384,MED,MED,MED,MED,MED,MED,MED,MED,MED
385,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
386,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
387,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
388,MED,MED,MED,MED,MED,MED,MED,MED,MED
389,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
390,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
391,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
392,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
393,MED,MED,MED,MED,MED,MED,MED,MED,MED
394,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
395,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
396,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
397,MED,MED,MED,MED,MED,MED,LOW,MED,MED
398,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
399,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
400,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
401,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
402,MED,MED,MED,MED,MED,MED,MED,MED,MED
403,MED,MED,MED,MED,MED,MED,MED,MED,MED
405,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
406,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
407,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
408,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
409,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
410,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
411,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
412,MED,MED,MED,MED,MED,MED,LOW,MED,MED
413,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
414,MED,MED,MED,MED,MED,MED,MED,MED,MED
415,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
416,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
417,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
418,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
419,MED,MED,MED,MED,MED,MED,LOW,MED,MED
420,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
421,LOW,LOW,MED,LOW,LOW,LOW,HIGH,LOW,LOW
423,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
424,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
425,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
426,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
427,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
428,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
429,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
431,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
432,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
433,MED,MED,MED,MED,MED,MED,LOW,MED,MED
434,MED,MED,MED,MED,MED,MED,MED,MED,MED
435,LOW,LOW,MED,MED,LOW,LOW,HIGH,LOW,LOW
436,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
437,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
438,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
439,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
440,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
441,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
442,MED,MED,MED,MED,MED,MED,MED,MED,MED
443,MED,MED,MED,MED,MED,MED,LOW,MED,MED
445,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
