id,actual,N (ngrams),C (chi^2),W (worst),R (random),X (random2)
55,Neither,Science,Neither,Science,Neither,Neither
56,Neither,Neither,Neither,Science,Neither,Neither
57,Neither,Neither,Neither,Science,Neither,Neither
58,Neither,Science,Neither,Play,Neither,Neither
59,Neither,Neither,Neither,Science,Neither,Neither
60,Neither,Neither,Neither,Neither,Neither,Neither
61,Neither,Science,Neither,Neither,Science,Neither
62,Neither,Neither,Neither,Science,Neither,Neither
63,Neither,Neither,Neither,Science,Neither,Neither
64,Neither,Neither,Neither,Play,Science,Science
65,Neither,Neither,Neither,Science,Neither,Neither
66,Neither,Neither,Neither,Neither,Neither,Neither
67,Neither,Neither,Neither,Science,Neither,Neither
68,Neither,Neither,Science,Science,Neither,Neither
69,Neither,Science,Neither,Science,Science,Neither
70,Neither,Science,Neither,Neither,Science,Neither
71,Neither,Neither,Neither,Play,Science,Neither
72,Neither,Neither,Neither,Science,Neither,Neither
73,Neither,Science,Science,Play,Neither,Neither
74,Neither,Neither,Neither,Science,Neither,Neither
75,Neither,Science,Neither,Science,Neither,Neither
76,Neither,Neither,Neither,Neither,Neither,Neither
77,Neither,Neither,Neither,Neither,Neither,Neither
78,Neither,Science,Neither,Play,Science,Neither
79,Neither,Neither,Neither,Science,Neither,Neither
80,Neither,Neither,Neither,Neither,Neither,Neither
81,Neither,Science,Neither,Science,Neither,Neither
82,Neither,Neither,Neither,Neither,Neither,Neither
83,Neither,Neither,Neither,Science,Neither,Neither
84,Neither,Neither,Neither,Neither,Neither,Neither
85,Neither,Neither,Neither,Science,Play,Neither
86,Neither,Neither,Neither,Neither,Neither,Neither
87,Neither,Neither,Neither,Science,Neither,Neither
88,Neither,Neither,Neither,Play,Neither,Neither
89,Neither,Play,Neither,Neither,Science,Neither
90,Neither,Neither,Neither,Neither,Neither,Neither
91,Neither,Neither,Neither,Science,Play,Neither
92,Neither,Neither,Neither,Science,Neither,Neither
93,Neither,Neither,Neither,Play,Neither,Neither
94,Neither,Neither,Neither,Neither,Neither,Neither
95,Neither,Neither,Science,Play,Science,Science
96,Neither,Neither,Neither,Science,Neither,Neither
97,Neither,Neither,Neither,Science,Neither,Neither
98,Neither,Science,Neither,Neither,Neither,Science
99,Neither,Neither,Neither,Neither,Neither,Neither
100,Neither,Science,Neither,Science,Neither,Neither
101,Neither,Neither,Science,Neither,Neither,Neither
102,Neither,Neither,Neither,Science,Neither,Neither
103,Neither,Neither,Neither,Neither,Neither,Neither
104,Neither,Neither,Neither,Neither,Neither,Neither
105,Neither,Neither,Neither,Science,Neither,Neither
106,Neither,Neither,Neither,Neither,Neither,Neither
107,Neither,Neither,Neither,Play,Neither,Neither
108,Neither,Science,Neither,Neither,Neither,Neither
109,Neither,Science,Neither,Science,Neither,Neither
110,Neither,Neither,Neither,Play,Neither,Neither
111,Neither,Neither,Neither,Science,Neither,Neither
112,Neither,Play,Neither,Play,Neither,Neither
113,Neither,Neither,Neither,Science,Neither,Neither
114,Neither,Neither,Science,Science,Neither,Neither
115,Neither,Neither,Neither,Science,Neither,Neither
116,Neither,Science,Science,Play,Neither,Neither
117,Neither,Neither,Science,Science,Neither,Science
118,Neither,Science,Neither,Neither,Neither,Neither
119,Neither,Neither,Neither,Science,Science,Neither
120,Neither,Neither,Neither,Science,Science,Neither
121,Neither,Neither,Neither,Neither,Neither,Neither
122,Neither,Neither,Neither,Science,Science,Neither
123,Neither,Neither,Neither,Neither,Neither,Neither
124,Neither,Neither,Neither,Neither,Play,Neither
125,Neither,Neither,Neither,Play,Neither,Neither
126,Neither,Neither,Neither,Play,Neither,Play
127,Science,Science,Science,Science,Science,Science
128,Neither,Neither,Neither,Neither,Neither,Neither
129,Neither,Play,Neither,Neither,Neither,Play
130,Neither,Neither,Science,Science,Science,Neither
131,Neither,Neither,Neither,Neither,Neither,Neither
132,Neither,Science,Science,Play,Neither,Neither
133,Neither,Neither,Neither,Science,Neither,Neither
134,Neither,Neither,Science,Neither,Neither,Science
135,Neither,Science,Neither,Science,Play,Neither
136,Neither,Neither,Neither,Science,Neither,Neither
137,Neither,Neither,Neither,Neither,Neither,Neither
138,Neither,Science,Science,Science,Science,Neither
139,Neither,Neither,Neither,Science,Neither,Science
140,Neither,Science,Science,Play,Neither,Neither
141,Neither,Science,Neither,Science,Neither,Science
142,Neither,Science,Neither,Play,Neither,Play
143,Neither,Science,Neither,Science,Neither,Neither
144,Neither,Neither,Neither,Play,Neither,Neither
145,Neither,Neither,Neither,Science,Neither,Play
146,Neither,Play,Neither,Science,Neither,Play
147,Neither,Play,Neither,Play,Neither,Neither
148,Neither,Play,Neither,Play,Science,Play
149,Neither,Neither,Neither,Science,Neither,Neither
150,Neither,Science,Neither,Science,Science,Neither
151,Neither,Science,Neither,Science,Neither,Play
152,Neither,Science,Neither,Play,Neither,Science
153,Neither,Play,Science,Play,Neither,Neither
154,Neither,Neither,Science,Play,Science,Science
155,Neither,Neither,Neither,Science,Neither,Science
156,Science,Science,Neither,Play,Science,Play
157,Neither,Science,Neither,Play,Neither,Neither
158,Neither,Neither,Neither,Neither,Neither,Science
159,Neither,Neither,Neither,Play,Science,Science
160,Neither,Science,Neither,Play,Science,Play
161,Neither,Science,Science,Play,Science,Science
162,Neither,Neither,Science,Science,Neither,Neither
163,Neither,Neither,Neither,Science,Science,Neither
164,Neither,Neither,Neither,Neither,Science,Neither
165,Neither,Play,Neither,Science,Neither,Science
166,Neither,Neither,Neither,Play,Neither,Neither
167,Neither,Neither,Neither,Science,Science,Neither
168,Neither,Science,Neither,Play,Science,Neither
169,Neither,Play,Play,Play,Play,Play
170,Neither,Neither,Neither,Play,Neither,Science
171,Neither,Neither,Neither,Neither,Science,Neither
172,Neither,Science,Neither,Play,Science,Neither
173,Neither,Science,Neither,Science,Science,Neither
174,Neither,Science,Science,Play,Science,Play
175,Neither,Neither,Science,Science,Science,Neither
176,Neither,Neither,Science,Science,Neither,Play
177,Neither,Neither,Science,Neither,Neither,Neither
178,Neither,Science,Neither,Science,Neither,Neither
179,Neither,Neither,Neither,Science,Neither,Neither
180,Neither,Neither,Science,Science,Neither,Science
181,Neither,Play,Neither,Play,Neither,Science
182,Neither,Science,Neither,Play,Neither,Neither
183,Neither,Neither,Neither,Neither,Neither,Neither
184,Neither,Neither,Neither,Neither,Neither,Neither
185,Neither,Science,Science,Science,Neither,Neither
186,Neither,Science,Neither,Play,Neither,Neither
187,Neither,Neither,Neither,Science,Neither,Neither
188,Neither,Science,Science,Play,Neither,Neither
189,Neither,Science,Neither,Play,Neither,Neither
190,Neither,Neither,Play,Play,Neither,Neither
191,Neither,Neither,Science,Neither,Neither,Neither
192,Neither,Science,Science,Play,Neither,Neither
193,Neither,Neither,Science,Science,Science,Neither
194,Neither,Science,Science,Play,Science,Science
195,Neither,Science,Neither,Play,Neither,Neither
196,Science,Science,Science,Science,Science,Science
197,Neither,Science,Neither,Play,Neither,Neither
198,Neither,Neither,Neither,Neither,Science,Science
199,Science,Science,Science,Science,Science,Science
200,Neither,Science,Science,Science,Neither,Neither
201,Neither,Neither,Neither,Neither,Neither,Neither
202,Neither,Science,Neither,Play,Neither,Neither
203,Neither,Neither,Neither,Play,Neither,Neither
204,Neither,Neither,Neither,Play,Neither,Neither
205,Neither,Neither,Neither,Play,Neither,Neither
206,Neither,Neither,Neither,Play,Neither,Neither
207,Science,Science,Science,Neither,Science,Science
208,Neither,Science,Science,Neither,Science,Neither
209,Neither,Neither,Neither,Science,Neither,Neither
210,Play,Play,Play,Play,Play,Play
211,Neither,Neither,Science,Science,Neither,Science
212,Neither,Science,Neither,Science,Neither,Neither
213,Neither,Science,Neither,Play,Neither,Neither
214,Neither,Play,Play,Play,Play,Neither
215,Neither,Science,Neither,Play,Neither,Science
216,Science,Science,Neither,Science,Neither,Science
217,Neither,Play,Science,Science,Play,Neither
218,Neither,Neither,Neither,Play,Neither,Neither
219,Neither,Science,Neither,Science,Neither,Neither
220,Neither,Neither,Neither,Science,Neither,Neither
221,Play,Play,Play,Science,Play,Play
222,Science,Science,Science,Play,Science,Neither
223,Neither,Science,Neither,Neither,Neither,Neither
224,Neither,Play,Neither,Play,Play,Neither
225,Neither,Neither,Neither,Neither,Neither,Neither
226,Neither,Neither,Neither,Neither,Neither,Neither
227,Neither,Neither,Science,Play,Science,Neither
228,Neither,Neither,Neither,Neither,Neither,Neither
229,Neither,Science,Neither,Science,Neither,Neither
230,Neither,Neither,Neither,Play,Neither,Neither
231,Neither,Neither,Play,Science,Neither,Science
232,Neither,Neither,Neither,Science,Neither,Neither
233,Neither,Neither,Neither,Neither,Neither,Neither
234,Neither,Science,Neither,Science,Science,Neither
235,Neither,Neither,Neither,Neither,Neither,Neither
236,Neither,Neither,Neither,Play,Neither,Neither
237,Neither,Play,Neither,Play,Play,Science
238,Neither,Neither,Science,Play,Neither,Neither
239,Science,Neither,Science,Science,Science,Science
240,Neither,Neither,Neither,Neither,Neither,Neither
241,Neither,Science,Neither,Science,Neither,Neither
242,Neither,Science,Neither,Science,Play,Science
243,Science,Neither,Science,Science,Science,Science
244,Neither,Neither,Neither,Neither,Neither,Neither
245,Neither,Neither,Neither,Neither,Neither,Play
246,Neither,Neither,Neither,Play,Play,Neither
247,Neither,Neither,Neither,Play,Science,Neither
248,Neither,Neither,Science,Science,Neither,Neither
249,Science,Science,Science,Science,Science,Science
250,Neither,Neither,Neither,Play,Neither,Science
251,Neither,Neither,Science,Science,Neither,Neither
252,Neither,Neither,Neither,Science,Neither,Neither
253,Science,Science,Science,Science,Science,Science
254,Neither,Neither,Neither,Science,Science,Neither
255,Neither,Neither,Science,Science,Science,Neither
256,Neither,Science,Neither,Play,Science,Neither
257,Neither,Neither,Science,Science,Neither,Science
258,Neither,Neither,Science,Neither,Neither,Science
259,Neither,Science,Science,Science,Neither,Neither
260,Neither,Neither,Play,Play,Neither,Play
261,Neither,Play,Neither,Neither,Neither,Science
262,Neither,Neither,Neither,Science,Science,Neither
263,Neither,Science,Neither,Play,Science,Neither
264,Neither,Neither,Play,Science,Neither,Science
265,Neither,Neither,Neither,Neither,Play,Neither
266,Neither,Neither,Play,Neither,Play,Science
267,Neither,Science,Neither,Play,Neither,Neither
268,Neither,Science,Neither,Play,Neither,Neither
269,Neither,Neither,Neither,Neither,Neither,Neither
270,Neither,Neither,Science,Play,Play,Neither
271,Neither,Neither,Science,Play,Neither,Neither
272,Neither,Neither,Neither,Science,Neither,Neither
273,Neither,Science,Neither,Neither,Neither,Neither
274,Neither,Science,Neither,Science,Neither,Science
275,Neither,Science,Neither,Science,Science,Neither
276,Neither,Science,Neither,Science,Neither,Neither
277,Neither,Science,Neither,Play,Play,Neither
278,Neither,Science,Neither,Play,Neither,Neither
279,Neither,Neither,Science,Science,Science,Neither
280,Neither,Neither,Play,Play,Neither,Science
281,Neither,Science,Science,Play,Neither,Science
282,Neither,Neither,Neither,Science,Neither,Neither
283,Neither,Science,Neither,Science,Science,Neither
284,Neither,Science,Neither,Science,Neither,Neither
285,Neither,Science,Neither,Play,Neither,Science
286,Neither,Science,Neither,Play,Science,Science
287,Neither,Science,Neither,Neither,Science,Neither
288,Neither,Science,Neither,Play,Play,Neither
289,Neither,Science,Science,Science,Neither,Neither
290,Neither,Science,Neither,Neither,Neither,Neither
291,Neither,Neither,Neither,Science,Science,Neither
292,Neither,Neither,Science,Play,Science,Neither
293,Neither,Neither,Neither,Science,Neither,Neither
294,Neither,Neither,Neither,Science,Neither,Play
295,Neither,Neither,Science,Science,Neither,Science
296,Neither,Science,Play,Science,Neither,Play
297,Neither,Play,Neither,Neither,Neither,Neither
298,Neither,Neither,Science,Play,Neither,Neither
299,Neither,Science,Neither,Science,Science,Neither
300,Neither,Science,Neither,Science,Neither,Science
301,Neither,Neither,Neither,Science,Science,Neither
302,Neither,Neither,Science,Science,Science,Neither
303,Neither,Science,Neither,Play,Science,Neither
304,Neither,Neither,Neither,Play,Science,Neither
305,Neither,Neither,Neither,Science,Neither,Neither
306,Neither,Neither,Science,Science,Neither,Neither
307,Neither,Science,Neither,Play,Neither,Neither
308,Neither,Neither,Neither,Play,Neither,Neither
309,Neither,Play,Neither,Play,Neither,Neither
310,Neither,Neither,Neither,Neither,Neither,Science
311,Neither,Play,Neither,Science,Neither,Science
312,Neither,Neither,Neither,Neither,Neither,Neither
313,Neither,Neither,Science,Play,Science,Neither
314,Neither,Neither,Neither,Play,Neither,Neither
315,Neither,Neither,Neither,Play,Neither,Science
316,Neither,Play,Neither,Play,Neither,Science
317,Neither,Science,Neither,Play,Science,Science
318,Neither,Science,Neither,Play,Play,Neither
319,Neither,Neither,Neither,Science,Neither,Neither
320,Neither,Neither,Neither,Play,Neither,Neither
321,Neither,Science,Neither,Play,Neither,Neither
322,Neither,Science,Neither,Play,Neither,Neither
323,Neither,Science,Neither,Play,Science,Neither
324,Neither,Neither,Neither,Neither,Neither,Neither
325,Neither,Neither,Neither,Neither,Science,Science
326,Neither,Science,Science,Play,Neither,Neither
327,Neither,Science,Science,Science,Neither,Neither
328,Neither,Neither,Neither,Neither,Science,Neither
329,Neither,Neither,Science,Play,Neither,Neither
330,Neither,Neither,Neither,Neither,Science,Science
331,Neither,Neither,Neither,Science,Neither,Neither
332,Neither,Science,Neither,Play,Neither,Neither
333,Neither,Science,Neither,Science,Science,Neither
334,Science,Science,Science,Science,Neither,Science
335,Neither,Neither,Neither,Science,Neither,Neither
336,Neither,Neither,Neither,Science,Play,Play
337,Neither,Neither,Neither,Neither,Neither,Neither
338,Science,Science,Science,Science,Science,Science
339,Neither,Neither,Science,Science,Science,Neither
340,Neither,Neither,Science,Play,Neither,Neither
341,Science,Science,Science,Science,Science,Science
342,Neither,Neither,Play,Play,Neither,Neither
343,Neither,Play,Neither,Science,Neither,Neither
344,Neither,Neither,Neither,Science,Neither,Science
345,Neither,Science,Science,Science,Science,Science
346,Neither,Neither,Neither,Play,Neither,Neither
347,Neither,Neither,Science,Science,Science,Neither
348,Neither,Neither,Neither,Play,Neither,Neither
349,Neither,Neither,Neither,Science,Neither,Neither
350,Neither,Science,Neither,Science,Neither,Neither
351,Play,Play,Play,Play,Play,Play
352,Play,Play,Play,Play,Play,Play
353,Neither,Science,Neither,Play,Neither,Neither
354,Neither,Neither,Science,Play,Neither,Neither
355,Neither,Neither,Neither,Play,Neither,Neither
356,Neither,Neither,Neither,Play,Neither,Neither
357,Neither,Science,Neither,Play,Play,Neither
358,Neither,Neither,Neither,Play,Neither,Neither
359,Neither,Neither,Neither,Neither,Neither,Neither
360,Neither,Neither,Neither,Science,Neither,Play
361,Neither,Science,Science,Science,Neither,Science
362,Neither,Science,Science,Play,Neither,Science
363,Neither,Science,Neither,Play,Play,Neither
364,Neither,Neither,Neither,Neither,Neither,Neither
365,Neither,Neither,Neither,Science,Science,Neither
366,Neither,Play,Neither,Neither,Neither,Play
367,Science,Science,Science,Science,Science,Science
368,Neither,Neither,Neither,Play,Science,Neither
369,Science,Science,Science,Play,Science,Science
370,Science,Science,Science,Science,Science,Science
371,Neither,Neither,Neither,Science,Play,Neither
372,Neither,Science,Science,Science,Science,Neither
373,Play,Play,Play,Play,Play,Play
374,Neither,Science,Neither,Neither,Neither,Science
375,Neither,Neither,Neither,Science,Science,Neither
376,Neither,Science,Neither,Neither,Science,Neither
377,Neither,Neither,Science,Science,Play,Neither
378,Neither,Neither,Science,Neither,Neither,Neither
379,Neither,Science,Neither,Science,Neither,Neither
380,Neither,Neither,Neither,Science,Neither,Science
381,Neither,Science,Science,Science,Neither,Neither
382,Neither,Neither,Neither,Play,Neither,Neither
383,Neither,Science,Neither,Neither,Neither,Neither
384,Neither,Neither,Science,Science,Neither,Science
385,Neither,Neither,Neither,Play,Science,Science
386,Neither,Neither,Neither,Neither,Neither,Neither
387,Neither,Neither,Neither,Neither,Neither,Neither
388,Neither,Neither,Neither,Neither,Play,Neither
389,Neither,Science,Neither,Science,Science,Neither
390,Neither,Neither,Neither,Play,Science,Neither
391,Neither,Neither,Neither,Science,Neither,Play
392,Neither,Neither,Science,Science,Neither,Neither
393,Neither,Science,Neither,Play,Neither,Neither
394,Neither,Science,Neither,Neither,Science,Neither
395,Neither,Neither,Neither,Play,Neither,Neither
396,Neither,Neither,Neither,Science,Neither,Neither
397,Neither,Science,Neither,Science,Play,Neither
398,Neither,Science,Neither,Play,Science,Neither
399,Neither,Neither,Neither,Science,Neither,Neither
400,Neither,Neither,Neither,Play,Neither,Play
401,Neither,Play,Neither,Play,Neither,Play
402,Neither,Play,Neither,Science,Neither,Neither
403,Neither,Neither,Neither,Play,Neither,Neither
404,Neither,Neither,Science,Science,Neither,Neither
405,Neither,Neither,Neither,Play,Neither,Neither
406,Neither,Neither,Neither,Play,Neither,Neither
407,Neither,Neither,Science,Play,Neither,Neither
408,Neither,Neither,Science,Play,Play,Neither
409,Neither,Science,Science,Play,Neither,Science
410,Neither,Neither,Neither,Play,Neither,Neither
411,Neither,Neither,Neither,Science,Science,Science
412,Neither,Neither,Science,Play,Science,Neither
413,Neither,Neither,Neither,Science,Neither,Neither
414,Neither,Neither,Neither,Science,Neither,Neither
415,Neither,Neither,Neither,Science,Neither,Neither
416,Neither,Neither,Science,Neither,Neither,Neither
417,Neither,Neither,Neither,Neither,Play,Neither
418,Neither,Neither,Neither,Science,Neither,Neither
419,Neither,Science,Science,Play,Neither,Neither
420,Neither,Neither,Neither,Science,Neither,Science
421,Neither,Science,Neither,Play,Neither,Neither
422,Neither,Science,Science,Science,Neither,Neither
423,Neither,Neither,Neither,Neither,Neither,Neither
424,Neither,Neither,Science,Science,Neither,Neither
425,Neither,Science,Neither,Science,Play,Neither
426,Neither,Science,Science,Neither,Neither,Science
427,Neither,Science,Science,Neither,Science,Neither
428,Neither,Neither,Neither,Science,Science,Play
429,Neither,Neither,Neither,Neither,Science,Play
430,Neither,Science,Neither,Neither,Science,Science
431,Neither,Science,Science,Play,Neither,Neither
432,Neither,Neither,Play,Play,Neither,Neither
433,Neither,Neither,Science,Play,Science,Science
434,Neither,Neither,Neither,Play,Neither,Neither
435,Neither,Neither,Neither,Science,Neither,Neither
436,Neither,Science,Neither,Play,Neither,Neither
437,Play,Play,Play,Play,Play,Play
438,Play,Play,Play,Play,Play,Play
439,Play,Play,Play,Play,Play,Play
440,Play,Play,Play,Play,Play,Play
441,Play,Play,Play,Play,Play,Play
442,Play,Play,Play,Play,Play,Play
443,Play,Play,Play,Science,Play,Play
444,Play,Play,Play,Play,Play,Play
445,Neither,Neither,Neither,Play,Neither,Science
446,Neither,Neither,Neither,Science,Neither,Neither
447,Neither,Neither,Neither,Neither,Neither,Play
448,Neither,Science,Neither,Play,Neither,Neither
449,Neither,Neither,Neither,Play,Neither,Play
450,Play,Play,Play,Play,Play,Play
451,Neither,Science,Neither,Science,Science,Neither
452,Neither,Neither,Neither,Neither,Neither,Neither
453,Neither,Neither,Neither,Play,Neither,Neither
454,Neither,Neither,Neither,Neither,Play,Play
455,Neither,Neither,Neither,Science,Science,Neither
456,Neither,Neither,Neither,Science,Neither,Play
457,Neither,Play,Science,Science,Neither,Science
458,Neither,Neither,Science,Play,Neither,Science
459,Neither,Science,Neither,Play,Play,Science
460,Neither,Neither,Neither,Play,Neither,Neither
461,Neither,Neither,Science,Science,Neither,Neither
462,Neither,Neither,Neither,Neither,Neither,Neither
463,Neither,Neither,Neither,Science,Science,Neither
464,Neither,Neither,Neither,Play,Play,Neither
465,Neither,Science,Neither,Play,Neither,Neither
466,Neither,Science,Neither,Science,Science,Science
467,Neither,Science,Play,Play,Science,Science
468,Neither,Science,Neither,Neither,Neither,Science
469,Neither,Science,Neither,Science,Neither,Neither
470,Neither,Science,Neither,Play,Science,Neither
471,Neither,Science,Neither,Neither,Neither,Neither
472,Neither,Science,Neither,Science,Neither,Neither
473,Neither,Science,Science,Play,Science,Science
474,Science,Science,Science,Science,Science,Science
475,Science,Science,Science,Science,Science,Science
476,Science,Science,Science,Science,Science,Play
477,Neither,Science,Neither,Play,Neither,Neither
478,Neither,Neither,Science,Science,Play,Neither
479,Neither,Neither,Neither,Science,Neither,Neither
480,Neither,Science,Neither,Neither,Neither,Neither
481,Neither,Neither,Neither,Science,Science,Neither
482,Neither,Science,Neither,Science,Neither,Neither
483,Neither,Neither,Neither,Neither,Neither,Neither
484,Neither,Neither,Neither,Neither,Neither,Neither
485,Neither,Neither,Neither,Science,Science,Neither
486,Neither,Neither,Neither,Neither,Science,Neither
487,Neither,Neither,Neither,Science,Science,Neither
488,Neither,Science,Neither,Play,Neither,Neither
489,Neither,Science,Neither,Play,Science,Science
490,Science,Science,Science,Play,Science,Neither
491,Neither,Neither,Neither,Neither,Neither,Neither
492,Neither,Neither,Neither,Science,Play,Science
493,Play,Play,Play,Play,Play,Play
494,Play,Play,Play,Play,Play,Play
495,Neither,Play,Neither,Play,Neither,Play
496,Play,Neither,Play,Neither,Play,Play
497,Play,Neither,Play,Science,Play,Play
498,Neither,Neither,Neither,Science,Science,Science
499,Play,Play,Play,Play,Play,Play
500,Play,Play,Play,Play,Play,Play
501,Play,Play,Play,Play,Play,Play
502,Neither,Play,Play,Neither,Play,Neither
503,Neither,Neither,Play,Play,Science,Play
504,Neither,Neither,Play,Play,Neither,Neither
505,Neither,Science,Science,Neither,Science,Science
506,Neither,Neither,Play,Play,Neither,Neither
507,Neither,Science,Neither,Play,Neither,Neither
508,Neither,Science,Science,Science,Neither,Neither
509,Science,Neither,Neither,Science,Science,Science
510,Neither,Science,Science,Science,Science,Science
511,Neither,Neither,Neither,Science,Science,Science
512,Neither,Neither,Neither,Science,Play,Neither
513,Neither,Science,Neither,Neither,Play,Science
514,Neither,Science,Neither,Science,Science,Neither
515,Neither,Neither,Science,Science,Science,Science
516,Neither,Play,Neither,Neither,Neither,Science
517,Neither,Science,Neither,Play,Neither,Neither
518,Neither,Neither,Neither,Science,Science,Neither
519,Neither,Neither,Neither,Play,Neither,Neither
520,Science,Science,Science,Science,Science,Science
521,Neither,Science,Science,Play,Play,Neither
522,Science,Science,Science,Play,Neither,Science
523,Neither,Science,Neither,Science,Play,Neither
524,Neither,Science,Science,Neither,Neither,Neither
525,Neither,Science,Neither,Science,Neither,Neither
526,Neither,Neither,Science,Play,Neither,Neither
527,Science,Neither,Science,Science,Science,Play
528,Neither,Play,Play,Neither,Neither,Neither
529,Neither,Science,Neither,Neither,Neither,Neither
530,Neither,Neither,Neither,Neither,Neither,Neither
531,Neither,Neither,Neither,Science,Neither,Neither
532,Neither,Neither,Neither,Science,Science,Neither
533,Neither,Neither,Science,Science,Neither,Neither
534,Neither,Neither,Science,Science,Neither,Neither
535,Neither,Neither,Neither,Neither,Science,Neither
536,Neither,Science,Science,Play,Neither,Neither
537,Neither,Science,Neither,Play,Science,Science
538,Neither,Neither,Neither,Science,Neither,Science
539,Neither,Neither,Neither,Science,Play,Neither
540,Neither,Science,Neither,Science,Science,Science
541,Neither,Science,Neither,Play,Neither,Neither
542,Neither,Neither,Neither,Play,Neither,Play
543,Neither,Neither,Neither,Play,Neither,Neither
544,Neither,Neither,Neither,Play,Neither,Neither
545,Neither,Neither,Neither,Science,Neither,Neither
546,Neither,Neither,Neither,Neither,Neither,Science
547,Neither,Neither,Neither,Play,Science,Neither
548,Neither,Neither,Neither,Neither,Neither,Neither
549,Neither,Neither,Neither,Neither,Neither,Neither
550,Neither,Science,Science,Neither,Neither,Neither
551,Neither,Neither,Neither,Play,Neither,Neither
552,Neither,Neither,Neither,Neither,Neither,Neither
553,Neither,Neither,Science,Neither,Neither,Neither
554,Neither,Neither,Neither,Neither,Science,Play
555,Neither,Neither,Neither,Neither,Neither,Neither
556,Neither,Neither,Neither,Neither,Neither,Neither
557,Neither,Neither,Science,Play,Neither,Science
558,Neither,Neither,Neither,Play,Neither,Neither
559,Neither,Neither,Neither,Play,Neither,Neither
560,Neither,Neither,Science,Neither,Neither,Neither
561,Neither,Neither,Neither,Play,Neither,Neither
562,Neither,Science,Neither,Neither,Neither,Neither
563,Neither,Neither,Neither,Neither,Neither,Neither
564,Neither,Neither,Neither,Neither,Neither,Neither
565,Neither,Neither,Neither,Science,Neither,Neither
566,Neither,Neither,Science,Neither,Neither,Neither
567,Neither,Neither,Neither,Play,Neither,Neither
568,Neither,Neither,Neither,Neither,Neither,Neither
569,Neither,Neither,Neither,Play,Neither,Neither
570,Neither,Neither,Neither,Play,Science,Neither
571,Science,Science,Science,Science,Science,Science
572,Neither,Neither,Neither,Play,Neither,Neither
573,Neither,Neither,Neither,Neither,Neither,Neither
574,Neither,Neither,Neither,Neither,Neither,Neither
575,Neither,Neither,Neither,Science,Neither,Neither
576,Neither,Neither,Neither,Play,Play,Play
577,Neither,Neither,Neither,Play,Neither,Neither
578,Neither,Neither,Neither,Neither,Neither,Neither
579,Neither,Play,Science,Neither,Neither,Neither
580,Neither,Science,Neither,Play,Neither,Science
581,Neither,Neither,Neither,Play,Neither,Neither
582,Neither,Neither,Neither,Play,Science,Neither
583,Neither,Neither,Neither,Science,Neither,Neither
